"DISTRITO","UNIDADE","AREA","ANO","MES","ESPECIALIDADE","VALOR"
"Centro","CS CÓRREGO GRANDE",1,2018,5,"Médico e Enfermeiro",310
"Centro","CS CÓRREGO GRANDE",1,2018,6,"Médico e Enfermeiro",347
"Centro","CS CÓRREGO GRANDE",1,2018,7,"Médico e Enfermeiro",350
"Centro","CS ITACORUBI",0,2018,4,"Médico e Enfermeiro",363
"Centro","CS ITACORUBI",0,2018,5,"Médico e Enfermeiro",352
"Centro","CS ITACORUBI",0,2018,6,"Médico e Enfermeiro",361
"Centro","CS ITACORUBI",0,2018,7,"Médico e Enfermeiro",378
"Centro","CS ITACORUBI",1,2018,4,"Médico e Enfermeiro",336
"Centro","CS ITACORUBI",1,2018,5,"Médico e Enfermeiro",327
"Centro","CS ITACORUBI",1,2018,6,"Médico e Enfermeiro",390
"Centro","CS ITACORUBI",1,2018,7,"Médico e Enfermeiro",414
"Centro","CS ITACORUBI",2,2018,4,"Médico e Enfermeiro",303
"Centro","CS ITACORUBI",2,2018,5,"Médico e Enfermeiro",310
"Centro","CS ITACORUBI",2,2018,6,"Médico e Enfermeiro",359
"Centro","CS ITACORUBI",2,2018,7,"Médico e Enfermeiro",392
"Centro","CS ITACORUBI",3,2018,4,"Médico e Enfermeiro",125
"Centro","CS ITACORUBI",3,2018,5,"Médico e Enfermeiro",197
"Centro","CS ITACORUBI",3,2018,6,"Médico e Enfermeiro",201
"Centro","CS ITACORUBI",3,2018,7,"Médico e Enfermeiro",231
"Centro","CS JOÃO PAULO",0,2018,4,"Médico e Enfermeiro",418
"Centro","CS JOÃO PAULO",0,2018,5,"Médico e Enfermeiro",453
"Centro","CS JOÃO PAULO",0,2018,6,"Médico e Enfermeiro",500
"Centro","CS JOÃO PAULO",0,2018,7,"Médico e Enfermeiro",555
"Centro","CS JOÃO PAULO",1,2018,4,"Médico e Enfermeiro",291
"Centro","CS JOÃO PAULO",1,2018,5,"Médico e Enfermeiro",303
"Centro","CS JOÃO PAULO",1,2018,6,"Médico e Enfermeiro",317
"Centro","CS JOÃO PAULO",1,2018,7,"Médico e Enfermeiro",326
"Centro","CS MONTE SERRAT",0,2018,4,"Médico e Enfermeiro",277
"Centro","CS MONTE SERRAT",0,2018,5,"Médico e Enfermeiro",306
"Centro","CS MONTE SERRAT",0,2018,6,"Médico e Enfermeiro",385
"Centro","CS MONTE SERRAT",0,2018,7,"Médico e Enfermeiro",400
"Centro","CS MONTE SERRAT",1,2018,4,"Médico e Enfermeiro",184
"Centro","CS MONTE SERRAT",1,2018,5,"Médico e Enfermeiro",172
"Centro","CS MONTE SERRAT",1,2018,6,"Médico e Enfermeiro",300
"Centro","CS MONTE SERRAT",1,2018,7,"Médico e Enfermeiro",256
"Centro","CS MONTE SERRAT",2,2018,4,"Médico e Enfermeiro",333
"Centro","CS MONTE SERRAT",2,2018,5,"Médico e Enfermeiro",399
"Centro","CS MONTE SERRAT",2,2018,6,"Médico e Enfermeiro",487
"Centro","CS MONTE SERRAT",2,2018,7,"Médico e Enfermeiro",482
"Centro","CS PANTANAL",0,2018,4,"Médico e Enfermeiro",184
"Centro","CS PANTANAL",0,2018,5,"Médico e Enfermeiro",289
"Centro","CS PANTANAL",0,2018,6,"Médico e Enfermeiro",367
"Centro","CS PANTANAL",0,2018,7,"Médico e Enfermeiro",400
"Centro","CS PANTANAL",1,2018,4,"Médico e Enfermeiro",147
"Centro","CS PANTANAL",1,2018,5,"Médico e Enfermeiro",258
"Centro","CS PANTANAL",1,2018,6,"Médico e Enfermeiro",303
"Centro","CS PANTANAL",1,2018,7,"Médico e Enfermeiro",258
"Centro","CS PRAINHA",0,2018,4,"Médico e Enfermeiro",195
"Centro","CS PRAINHA",0,2018,5,"Médico e Enfermeiro",308
"Centro","CS PRAINHA",0,2018,6,"Médico e Enfermeiro",437
"Centro","CS PRAINHA",0,2018,7,"Médico e Enfermeiro",380
"Centro","CS PRAINHA",1,2018,4,"Médico e Enfermeiro",136
"Centro","CS PRAINHA",1,2018,5,"Médico e Enfermeiro",237
"Centro","CS PRAINHA",1,2018,6,"Médico e Enfermeiro",250
"Centro","CS PRAINHA",1,2018,7,"Médico e Enfermeiro",310
"Centro","CS PRAINHA",2,2018,4,"Médico e Enfermeiro",144
"Centro","CS PRAINHA",2,2018,5,"Médico e Enfermeiro",231
"Centro","CS PRAINHA",2,2018,6,"Médico e Enfermeiro",253
"Centro","CS PRAINHA",2,2018,7,"Médico e Enfermeiro",302
"Centro","CS SACO DOS LIMÕES",0,2018,4,"Médico e Enfermeiro",178
"Centro","CS SACO DOS LIMÕES",0,2018,5,"Médico e Enfermeiro",248
"Centro","CS SACO DOS LIMÕES",0,2018,6,"Médico e Enfermeiro",319
"Centro","CS SACO DOS LIMÕES",0,2018,7,"Médico e Enfermeiro",318
"Centro","CS SACO DOS LIMÕES",1,2018,4,"Médico e Enfermeiro",235
"Centro","CS SACO DOS LIMÕES",1,2018,5,"Médico e Enfermeiro",333
"Centro","CS SACO DOS LIMÕES",1,2018,6,"Médico e Enfermeiro",384
"Centro","CS SACO DOS LIMÕES",1,2018,7,"Médico e Enfermeiro",397
"Centro","CS SACO DOS LIMÕES",2,2018,4,"Médico e Enfermeiro",300
"Centro","CS SACO DOS LIMÕES",2,2018,5,"Médico e Enfermeiro",382
"Centro","CS SACO DOS LIMÕES",2,2018,6,"Médico e Enfermeiro",587
"Centro","CS SACO DOS LIMÕES",2,2018,7,"Médico e Enfermeiro",516
"Centro","CS SACO DOS LIMÕES",3,2018,4,"Médico e Enfermeiro",75
"Centro","CS SACO DOS LIMÕES",3,2018,5,"Médico e Enfermeiro",86
"Centro","CS SACO DOS LIMÕES",3,2018,6,"Médico e Enfermeiro",109
"Centro","CS SACO DOS LIMÕES",3,2018,7,"Médico e Enfermeiro",105
"Centro","CS SACO DOS LIMÕES",4,2018,4,"Médico e Enfermeiro",39
"Centro","CS SACO DOS LIMÕES",4,2018,5,"Médico e Enfermeiro",52
"Centro","CS SACO DOS LIMÕES",4,2018,6,"Médico e Enfermeiro",56
"Centro","CS SACO DOS LIMÕES",4,2018,7,"Médico e Enfermeiro",57
"Centro","CS SACO DOS LIMÕES",312,2018,4,"Médico e Enfermeiro",3
"Centro","CS SACO DOS LIMÕES",312,2018,5,"Médico e Enfermeiro",2
"Centro","CS SACO DOS LIMÕES",312,2018,6,"Médico e Enfermeiro",4
"Centro","CS SACO DOS LIMÕES",312,2018,7,"Médico e Enfermeiro",3
"Centro","CS TRINDADE",0,2018,4,"Médico e Enfermeiro",166
"Centro","CS TRINDADE",0,2018,5,"Médico e Enfermeiro",282
"Centro","CS TRINDADE",0,2018,6,"Médico e Enfermeiro",350
"Centro","CS TRINDADE",0,2018,7,"Médico e Enfermeiro",297
"Centro","CS TRINDADE",1,2018,4,"Médico e Enfermeiro",250
"Centro","CS TRINDADE",1,2018,5,"Médico e Enfermeiro",337
"Centro","CS TRINDADE",1,2018,6,"Médico e Enfermeiro",428
"Centro","CS TRINDADE",1,2018,7,"Médico e Enfermeiro",355
"Centro","CS TRINDADE",2,2018,4,"Médico e Enfermeiro",209
"Centro","CS TRINDADE",2,2018,5,"Médico e Enfermeiro",350
"Centro","CS TRINDADE",2,2018,6,"Médico e Enfermeiro",382
"Centro","CS TRINDADE",2,2018,7,"Médico e Enfermeiro",389
"Centro","CS TRINDADE",3,2018,4,"Médico e Enfermeiro",184
"Centro","CS TRINDADE",3,2018,5,"Médico e Enfermeiro",285
"Centro","CS TRINDADE",3,2018,6,"Médico e Enfermeiro",324
"Centro","CS TRINDADE",3,2018,7,"Médico e Enfermeiro",324
"Centro","CS TRINDADE",4,2018,4,"Médico e Enfermeiro",166
"Centro","CS TRINDADE",4,2018,5,"Médico e Enfermeiro",233
"Centro","CS TRINDADE",4,2018,6,"Médico e Enfermeiro",303
"Centro","CS TRINDADE",4,2018,7,"Médico e Enfermeiro",295
"Centro","CS TRINDADE",5,2018,4,"Médico e Enfermeiro",18
"Centro","CS TRINDADE",5,2018,5,"Médico e Enfermeiro",42
"Centro","CS TRINDADE",5,2018,6,"Médico e Enfermeiro",64
"Centro","CS TRINDADE",5,2018,7,"Médico e Enfermeiro",39
"Continente","CS ABRAÃO",0,2018,4,"Médico e Enfermeiro",237
"Continente","CS ABRAÃO",0,2018,5,"Médico e Enfermeiro",259
"Continente","CS ABRAÃO",0,2018,6,"Médico e Enfermeiro",346
"Continente","CS ABRAÃO",0,2018,7,"Médico e Enfermeiro",372
"Continente","CS ABRAÃO",1,2018,4,"Médico e Enfermeiro",209
"Continente","CS ABRAÃO",1,2018,5,"Médico e Enfermeiro",223
"Continente","CS ABRAÃO",1,2018,6,"Médico e Enfermeiro",277
"Continente","CS ABRAÃO",1,2018,7,"Médico e Enfermeiro",292
"Continente","CS ABRAÃO",2,2018,4,"Médico e Enfermeiro",101
"Continente","CS ABRAÃO",2,2018,5,"Médico e Enfermeiro",165
"Continente","CS ABRAÃO",2,2018,6,"Médico e Enfermeiro",197
"Continente","CS ABRAÃO",2,2018,7,"Médico e Enfermeiro",209
"Continente","CS BALNEÁRIO",0,2018,4,"Médico e Enfermeiro",190
"Continente","CS BALNEÁRIO",0,2018,5,"Médico e Enfermeiro",284
"Continente","CS BALNEÁRIO",0,2018,6,"Médico e Enfermeiro",265
"Continente","CS BALNEÁRIO",0,2018,7,"Médico e Enfermeiro",230
"Continente","CS BALNEÁRIO",1,2018,4,"Médico e Enfermeiro",309
"Continente","CS BALNEÁRIO",1,2018,5,"Médico e Enfermeiro",354
"Continente","CS BALNEÁRIO",1,2018,6,"Médico e Enfermeiro",331
"Continente","CS BALNEÁRIO",1,2018,7,"Médico e Enfermeiro",314
"Continente","CS CAPOEIRAS",0,2018,4,"Médico e Enfermeiro",118
"Continente","CS CAPOEIRAS",0,2018,5,"Médico e Enfermeiro",351
"Continente","CS CAPOEIRAS",0,2018,6,"Médico e Enfermeiro",309
"Continente","CS CAPOEIRAS",0,2018,7,"Médico e Enfermeiro",277
"Continente","CS CAPOEIRAS",1,2018,4,"Médico e Enfermeiro",97
"Continente","CS CAPOEIRAS",1,2018,5,"Médico e Enfermeiro",218
"Continente","CS CAPOEIRAS",1,2018,6,"Médico e Enfermeiro",233
"Continente","CS CAPOEIRAS",1,2018,7,"Médico e Enfermeiro",195
"Continente","CS CAPOEIRAS",2,2018,4,"Médico e Enfermeiro",46
"Continente","CS CAPOEIRAS",2,2018,5,"Médico e Enfermeiro",309
"Continente","CS CAPOEIRAS",2,2018,6,"Médico e Enfermeiro",233
"Continente","CS CAPOEIRAS",2,2018,7,"Médico e Enfermeiro",144
"Continente","CS COLONINHA",0,2018,4,"Médico e Enfermeiro",181
"Continente","CS COLONINHA",0,2018,5,"Médico e Enfermeiro",292
"Continente","CS COLONINHA",0,2018,6,"Médico e Enfermeiro",288
"Continente","CS COLONINHA",0,2018,7,"Médico e Enfermeiro",232
"Continente","CS COLONINHA",1,2018,4,"Médico e Enfermeiro",198
"Continente","CS COLONINHA",1,2018,5,"Médico e Enfermeiro",321
"Continente","CS COLONINHA",1,2018,6,"Médico e Enfermeiro",265
"Continente","CS COLONINHA",1,2018,7,"Médico e Enfermeiro",310
"Continente","CS COLONINHA",2,2018,4,"Médico e Enfermeiro",230
"Continente","CS COLONINHA",2,2018,5,"Médico e Enfermeiro",423
"Continente","CS COLONINHA",2,2018,6,"Médico e Enfermeiro",424
"Continente","CS COLONINHA",2,2018,7,"Médico e Enfermeiro",479
"Continente","CS COQUEIROS",0,2018,4,"Médico e Enfermeiro",194
"Continente","CS COQUEIROS",0,2018,5,"Médico e Enfermeiro",239
"Continente","CS COQUEIROS",0,2018,6,"Médico e Enfermeiro",252
"Continente","CS COQUEIROS",0,2018,7,"Médico e Enfermeiro",265
"Continente","CS COQUEIROS",1,2018,4,"Médico e Enfermeiro",279
"Continente","CS COQUEIROS",1,2018,5,"Médico e Enfermeiro",272
"Continente","CS COQUEIROS",1,2018,6,"Médico e Enfermeiro",358
"Continente","CS COQUEIROS",1,2018,7,"Médico e Enfermeiro",390
"Continente","CS COQUEIROS",2,2018,4,"Médico e Enfermeiro",247
"Continente","CS COQUEIROS",2,2018,5,"Médico e Enfermeiro",273
"Continente","CS COQUEIROS",2,2018,6,"Médico e Enfermeiro",385
"Continente","CS COQUEIROS",2,2018,7,"Médico e Enfermeiro",459
"Continente","CS ESTREITO",0,2018,4,"Médico e Enfermeiro",174
"Continente","CS ESTREITO",0,2018,5,"Médico e Enfermeiro",333
"Continente","CS ESTREITO",0,2018,6,"Médico e Enfermeiro",248
"Continente","CS ESTREITO",0,2018,7,"Médico e Enfermeiro",319
"Continente","CS ESTREITO",1,2018,4,"Médico e Enfermeiro",206
"Continente","CS ESTREITO",1,2018,5,"Médico e Enfermeiro",323
"Continente","CS ESTREITO",1,2018,6,"Médico e Enfermeiro",316
"Continente","CS ESTREITO",1,2018,7,"Médico e Enfermeiro",304
"Continente","CS ESTREITO",2,2018,4,"Médico e Enfermeiro",135
"Continente","CS ESTREITO",2,2018,5,"Médico e Enfermeiro",159
"Continente","CS ESTREITO",2,2018,6,"Médico e Enfermeiro",240
"Continente","CS ESTREITO",2,2018,7,"Médico e Enfermeiro",229
"Continente","CS ESTREITO",3,2018,4,"Médico e Enfermeiro",175
"Continente","CS ESTREITO",3,2018,5,"Médico e Enfermeiro",306
"Continente","CS ESTREITO",3,2018,6,"Médico e Enfermeiro",342
"Continente","CS ESTREITO",3,2018,7,"Médico e Enfermeiro",300
"Continente","CS JARDIM ATLÂNTICO",0,2018,4,"Médico e Enfermeiro",132
"Continente","CS JARDIM ATLÂNTICO",0,2018,5,"Médico e Enfermeiro",160
"Continente","CS JARDIM ATLÂNTICO",0,2018,6,"Médico e Enfermeiro",140
"Continente","CS JARDIM ATLÂNTICO",0,2018,7,"Médico e Enfermeiro",210
"Continente","CS JARDIM ATLÂNTICO",1,2018,4,"Médico e Enfermeiro",122
"Continente","CS JARDIM ATLÂNTICO",1,2018,5,"Médico e Enfermeiro",132
"Continente","CS JARDIM ATLÂNTICO",1,2018,6,"Médico e Enfermeiro",112
"Continente","CS JARDIM ATLÂNTICO",1,2018,7,"Médico e Enfermeiro",194
"Continente","CS MONTE CRISTO",0,2018,4,"Médico e Enfermeiro",361
"Continente","CS MONTE CRISTO",0,2018,5,"Médico e Enfermeiro",470
"Continente","CS MONTE CRISTO",0,2018,6,"Médico e Enfermeiro",489
"Continente","CS MONTE CRISTO",0,2018,7,"Médico e Enfermeiro",424
"Continente","CS MONTE CRISTO",1,2018,4,"Médico e Enfermeiro",336
"Continente","CS MONTE CRISTO",1,2018,5,"Médico e Enfermeiro",512
"Continente","CS MONTE CRISTO",1,2018,6,"Médico e Enfermeiro",512
"Continente","CS MONTE CRISTO",1,2018,7,"Médico e Enfermeiro",466
"Continente","CS MONTE CRISTO",2,2018,4,"Médico e Enfermeiro",192
"Continente","CS MONTE CRISTO",2,2018,5,"Médico e Enfermeiro",242
"Continente","CS MONTE CRISTO",2,2018,6,"Médico e Enfermeiro",221
"Continente","CS MONTE CRISTO",2,2018,7,"Médico e Enfermeiro",241
"Continente","CS MONTE CRISTO",3,2018,4,"Médico e Enfermeiro",291
"Continente","CS MONTE CRISTO",3,2018,5,"Médico e Enfermeiro",382
"Continente","CS MONTE CRISTO",3,2018,6,"Médico e Enfermeiro",406
"Continente","CS MONTE CRISTO",3,2018,7,"Médico e Enfermeiro",372
"Continente","CS MONTE CRISTO",4,2018,4,"Médico e Enfermeiro",379
"Continente","CS MONTE CRISTO",4,2018,5,"Médico e Enfermeiro",470
"Continente","CS MONTE CRISTO",4,2018,6,"Médico e Enfermeiro",468
"Continente","CS MONTE CRISTO",4,2018,7,"Médico e Enfermeiro",457
"Continente","CS MONTE CRISTO",5,2018,4,"Médico e Enfermeiro",268
"Continente","CS MONTE CRISTO",5,2018,5,"Médico e Enfermeiro",355
"Continente","CS MONTE CRISTO",5,2018,6,"Médico e Enfermeiro",331
"Continente","CS MONTE CRISTO",5,2018,7,"Médico e Enfermeiro",362
"Continente","CS MONTE CRISTO",6,2018,4,"Médico e Enfermeiro",88
"Continente","CS MONTE CRISTO",6,2018,5,"Médico e Enfermeiro",124
"Continente","CS MONTE CRISTO",6,2018,6,"Médico e Enfermeiro",117
"Continente","CS MONTE CRISTO",6,2018,7,"Médico e Enfermeiro",115
"Continente","CS NOVO CONTINENTE",0,2018,4,"Médico e Enfermeiro",291
"Continente","CS NOVO CONTINENTE",0,2018,5,"Médico e Enfermeiro",467
"Continente","CS NOVO CONTINENTE",0,2018,6,"Médico e Enfermeiro",534
"Continente","CS NOVO CONTINENTE",0,2018,7,"Médico e Enfermeiro",470
"Continente","CS NOVO CONTINENTE",1,2018,4,"Médico e Enfermeiro",175
"Continente","CS NOVO CONTINENTE",1,2018,5,"Médico e Enfermeiro",287
"Continente","CS NOVO CONTINENTE",1,2018,6,"Médico e Enfermeiro",328
"Continente","CS NOVO CONTINENTE",1,2018,7,"Médico e Enfermeiro",268
"Continente","CS NOVO CONTINENTE",2,2018,4,"Médico e Enfermeiro",238
"Continente","CS NOVO CONTINENTE",2,2018,5,"Médico e Enfermeiro",345
"Continente","CS NOVO CONTINENTE",2,2018,6,"Médico e Enfermeiro",399
"Continente","CS NOVO CONTINENTE",2,2018,7,"Médico e Enfermeiro",386
"Continente","CS SAPE",0,2018,4,"Médico e Enfermeiro",202
"Continente","CS SAPE",0,2018,5,"Médico e Enfermeiro",192
"Continente","CS SAPE",0,2018,6,"Médico e Enfermeiro",327
"Continente","CS SAPE",0,2018,7,"Médico e Enfermeiro",309
"Continente","CS SAPE",1,2018,4,"Médico e Enfermeiro",185
"Continente","CS SAPE",1,2018,5,"Médico e Enfermeiro",232
"Continente","CS SAPE",1,2018,6,"Médico e Enfermeiro",361
"Continente","CS SAPE",1,2018,7,"Médico e Enfermeiro",357
"Continente","CS VILA APARECIDA",0,2018,4,"Médico e Enfermeiro",210
"Continente","CS VILA APARECIDA",0,2018,5,"Médico e Enfermeiro",234
"Continente","CS VILA APARECIDA",0,2018,6,"Médico e Enfermeiro",210
"Continente","CS VILA APARECIDA",0,2018,7,"Médico e Enfermeiro",253
"Continente","CS VILA APARECIDA",1,2018,4,"Médico e Enfermeiro",112
"Continente","CS VILA APARECIDA",1,2018,5,"Médico e Enfermeiro",140
"Continente","CS VILA APARECIDA",1,2018,6,"Médico e Enfermeiro",139
"Continente","CS VILA APARECIDA",1,2018,7,"Médico e Enfermeiro",176
"Norte","CS BARRA DA LAGOA",0,2018,4,"Médico e Enfermeiro",269
"Norte","CS BARRA DA LAGOA",0,2018,5,"Médico e Enfermeiro",454
"Norte","CS BARRA DA LAGOA",0,2018,6,"Médico e Enfermeiro",367
"Norte","CS BARRA DA LAGOA",0,2018,7,"Médico e Enfermeiro",361
"Norte","CS BARRA DA LAGOA",1,2018,4,"Médico e Enfermeiro",326
"Norte","CS BARRA DA LAGOA",1,2018,5,"Médico e Enfermeiro",538
"Norte","CS BARRA DA LAGOA",1,2018,6,"Médico e Enfermeiro",398
"Norte","CS BARRA DA LAGOA",1,2018,7,"Médico e Enfermeiro",419
"Norte","CS BARRA DA LAGOA",2,2018,4,"Médico e Enfermeiro",80
"Norte","CS BARRA DA LAGOA",2,2018,5,"Médico e Enfermeiro",115
"Norte","CS BARRA DA LAGOA",2,2018,6,"Médico e Enfermeiro",88
"Norte","CS BARRA DA LAGOA",2,2018,7,"Médico e Enfermeiro",87
"Norte","CS CACHOEIRA BOM JESUS",0,2018,4,"Médico e Enfermeiro",213
"Norte","CS CACHOEIRA BOM JESUS",0,2018,5,"Médico e Enfermeiro",385
"Norte","CS CACHOEIRA BOM JESUS",0,2018,6,"Médico e Enfermeiro",568
"Norte","CS CACHOEIRA BOM JESUS",0,2018,7,"Médico e Enfermeiro",415
"Norte","CS CACHOEIRA BOM JESUS",1,2018,4,"Médico e Enfermeiro",181
"Norte","CS CACHOEIRA BOM JESUS",1,2018,5,"Médico e Enfermeiro",254
"Norte","CS CACHOEIRA BOM JESUS",1,2018,6,"Médico e Enfermeiro",365
"Norte","CS CACHOEIRA BOM JESUS",1,2018,7,"Médico e Enfermeiro",309
"Norte","CS CANASVIEIRAS",0,2018,4,"Médico e Enfermeiro",174
"Norte","CS CANASVIEIRAS",0,2018,5,"Médico e Enfermeiro",273
"Norte","CS CANASVIEIRAS",0,2018,6,"Médico e Enfermeiro",334
"Norte","CS CANASVIEIRAS",0,2018,7,"Médico e Enfermeiro",336
"Norte","CS CANASVIEIRAS",1,2018,4,"Médico e Enfermeiro",209
"Norte","CS CANASVIEIRAS",1,2018,5,"Médico e Enfermeiro",364
"Norte","CS CANASVIEIRAS",1,2018,6,"Médico e Enfermeiro",439
"Norte","CS CANASVIEIRAS",1,2018,7,"Médico e Enfermeiro",455
"Norte","CS CANASVIEIRAS",2,2018,4,"Médico e Enfermeiro",191
"Norte","CS CANASVIEIRAS",2,2018,5,"Médico e Enfermeiro",282
"Norte","CS CANASVIEIRAS",2,2018,6,"Médico e Enfermeiro",333
"Norte","CS CANASVIEIRAS",2,2018,7,"Médico e Enfermeiro",292
"Norte","CS CANASVIEIRAS",3,2018,4,"Médico e Enfermeiro",190
"Norte","CS CANASVIEIRAS",3,2018,5,"Médico e Enfermeiro",227
"Norte","CS CANASVIEIRAS",3,2018,6,"Médico e Enfermeiro",298
"Norte","CS CANASVIEIRAS",3,2018,7,"Médico e Enfermeiro",311
"Norte","CS CANASVIEIRAS",4,2018,4,"Médico e Enfermeiro",290
"Norte","CS CANASVIEIRAS",4,2018,5,"Médico e Enfermeiro",337
"Norte","CS CANASVIEIRAS",4,2018,6,"Médico e Enfermeiro",356
"Norte","CS CANASVIEIRAS",4,2018,7,"Médico e Enfermeiro",402
"Norte","CS INGLESES",1,2018,4,"Médico e Enfermeiro",293
"Norte","CS INGLESES",1,2018,5,"Médico e Enfermeiro",399
"Norte","CS INGLESES",1,2018,6,"Médico e Enfermeiro",376
"Norte","CS INGLESES",1,2018,7,"Médico e Enfermeiro",385
"Norte","CS INGLESES",2,2018,4,"Médico e Enfermeiro",318
"Norte","CS INGLESES",2,2018,5,"Médico e Enfermeiro",463
"Norte","CS INGLESES",2,2018,6,"Médico e Enfermeiro",452
"Norte","CS INGLESES",2,2018,7,"Médico e Enfermeiro",498
"Norte","CS INGLESES",3,2018,4,"Médico e Enfermeiro",238
"Norte","CS INGLESES",3,2018,5,"Médico e Enfermeiro",364
"Norte","CS INGLESES",3,2018,6,"Médico e Enfermeiro",355
"Norte","CS INGLESES",3,2018,7,"Médico e Enfermeiro",416
"Norte","CS INGLESES",4,2018,4,"Médico e Enfermeiro",211
"Norte","CS INGLESES",4,2018,5,"Médico e Enfermeiro",328
"Norte","CS INGLESES",4,2018,6,"Médico e Enfermeiro",285
"Norte","CS INGLESES",4,2018,7,"Médico e Enfermeiro",390
"Norte","CS INGLESES",5,2018,4,"Médico e Enfermeiro",386
"Norte","CS INGLESES",5,2018,5,"Médico e Enfermeiro",543
"Norte","CS INGLESES",5,2018,6,"Médico e Enfermeiro",518
"Norte","CS INGLESES",5,2018,7,"Médico e Enfermeiro",500
"Norte","CS INGLESES",6,2018,4,"Médico e Enfermeiro",340
"Norte","CS INGLESES",6,2018,5,"Médico e Enfermeiro",585
"Norte","CS INGLESES",6,2018,6,"Médico e Enfermeiro",398
"Norte","CS INGLESES",6,2018,7,"Médico e Enfermeiro",573
"Norte","CS INGLESES",7,2018,4,"Médico e Enfermeiro",107
"Norte","CS INGLESES",7,2018,5,"Médico e Enfermeiro",160
"Norte","CS INGLESES",7,2018,6,"Médico e Enfermeiro",155
"Norte","CS INGLESES",7,2018,7,"Médico e Enfermeiro",167
"Norte","CS INGLESES",8,2018,4,"Médico e Enfermeiro",99
"Norte","CS INGLESES",8,2018,5,"Médico e Enfermeiro",118
"Norte","CS INGLESES",8,2018,6,"Médico e Enfermeiro",113
"Norte","CS INGLESES",8,2018,7,"Médico e Enfermeiro",101
"Norte","CS JURERE",0,2018,4,"Médico e Enfermeiro",499
"Norte","CS JURERE",0,2018,5,"Médico e Enfermeiro",409
"Norte","CS JURERE",0,2018,6,"Médico e Enfermeiro",389
"Norte","CS JURERE",0,2018,7,"Médico e Enfermeiro",365
"Norte","CS PONTA DAS CANAS",0,2018,4,"Médico e Enfermeiro",256
"Norte","CS PONTA DAS CANAS",0,2018,5,"Médico e Enfermeiro",243
"Norte","CS PONTA DAS CANAS",0,2018,6,"Médico e Enfermeiro",298
"Norte","CS PONTA DAS CANAS",0,2018,7,"Médico e Enfermeiro",372
"Norte","CS PONTA DAS CANAS",1,2018,4,"Médico e Enfermeiro",126
"Norte","CS PONTA DAS CANAS",1,2018,5,"Médico e Enfermeiro",136
"Norte","CS PONTA DAS CANAS",1,2018,6,"Médico e Enfermeiro",153
"Norte","CS PONTA DAS CANAS",1,2018,7,"Médico e Enfermeiro",179
"Norte","CS RATONES",0,2018,4,"Médico e Enfermeiro",256
"Norte","CS RATONES",0,2018,5,"Médico e Enfermeiro",317
"Norte","CS RATONES",0,2018,6,"Médico e Enfermeiro",341
"Norte","CS RATONES",0,2018,7,"Médico e Enfermeiro",182
