"DISTRITO","UNIDADE","TRIMESTRE","VALOR","ESPECIALIDADE","AREA"
"Norte","CS SANTINHO","2013 Q1",537,"Médico",980
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1",665,"Médico",360
"Continente","CS SAPE","2013 Q1",492,"Médico",30
"Sul","CS TAPERA","2013 Q1",951,"Médico",260
"Centro","CS TRINDADE","2013 Q1",452,"Médico",850
"Norte","CS VARGEM GRANDE","2013 Q1",199,"Médico",410
"Norte","CS VARGEM PEQUENA","2013 Q1",464,"Médico",340
"Continente","CS VILA APARECIDA","2013 Q1",590,"Médico",90
"Continente","CS ABRAÃO","2013 Q1",457,"Médico",571
"Centro","CS AGRONÔMICA","2013 Q1",470,"Médico",691
"Sul","CS ARMAÇÃO","2013 Q1",567,"Médico",241
"Continente","CS BALNEÁRIO","2013 Q1",507,"Médico",21
"Norte","CS BARRA DA LAGOA","2013 Q1",849,"Médico",441
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1",448,"Médico",401
"Sul","CS CAMPECHE","2013 Q1",467,"Médico",281
"Norte","CS CANASVIEIRAS","2013 Q1",619,"Médico",381
"Continente","CS CAPOEIRAS","2013 Q1",497,"Médico",61
"Sul","CS CARIANOS","2013 Q1",691,"Médico",271
"Centro","CS CENTRO","2013 Q1",321,"Médico",951
"Continente","CS COLONINHA","2013 Q1",597,"Médico",71
"Continente","CS COQUEIROS","2013 Q1",683,"Médico",601
"Centro","CS CÓRREGO GRANDE","2013 Q1",488,"Médico",171
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1",814,"Médico",301
"Continente","CS ESTREITO","2013 Q1",573,"Médico",81
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1",607,"Médico",781
"Norte","CS INGLESES","2013 Q1",567,"Médico",431
"Centro","CS ITACORUBI","2013 Q1",649,"Médico",191
"Continente","CS JARDIM ATLÂNTICO","2013 Q1",86,"Médico",11
"Centro","CS JOÃO PAULO","2013 Q1",462,"Médico",321
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1",566,"Médico",471
"Continente","CS MONTE CRISTO","2013 Q1",790,"Médico",41
"Centro","CS MONTE SERRAT","2013 Q1",398,"Médico",121
"Sul","CS MORRO DAS PEDRAS","2013 Q1",309,"Médico",251
"Continente","CS NOVO CONTINENTE","2013 Q1",336,"Médico",101
"Centro","CS PANTANAL","2013 Q1",515,"Médico",161
"Norte","CS PONTA DAS CANAS","2013 Q1",199,"Médico",371
"Centro","CS PRAINHA","2013 Q1",523,"Médico",131
"Norte","CS RATONES","2013 Q1",199,"Médico",351
"Sul","CS RIO TAVARES","2013 Q1",435,"Médico",291
"Norte","CS RIO VERMELHO","2013 Q1",654,"Médico",421
"Centro","CS SACO DOS LIMÕES","2013 Q1",678,"Médico",311
"Norte","CS SACO GRANDE","2013 Q1",771,"Médico",331
"Norte","CS SANTINHO","2013 Q1",669,"Médico",981
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1",647,"Médico",361
"Continente","CS SAPE","2013 Q1",560,"Médico",31
"Sul","CS TAPERA","2013 Q1",755,"Médico",261
"Centro","CS TRINDADE","2013 Q1",477,"Médico",851
"Norte","CS VARGEM GRANDE","2013 Q1",1,"Médico",NA
"Continente","CS VILA APARECIDA","2013 Q1",351,"Médico",91
"Continente","CS ABRAÃO","2013 Q1",315,"Médico",572
"Centro","CS AGRONÔMICA","2013 Q1",552,"Médico",692
"Sul","CS ARMAÇÃO","2013 Q1",113,"Médico",242
"Norte","CS BARRA DA LAGOA","2013 Q1",204,"Médico",442
"Norte","CS CANASVIEIRAS","2013 Q1",581,"Médico",382
"Continente","CS CAPOEIRAS","2013 Q1",410,"Médico",62
"Sul","CS CARIANOS","2013 Q1",80,"Médico",272
"Centro","CS CENTRO","2013 Q1",494,"Médico",952
"Continente","CS COLONINHA","2013 Q1",682,"Médico",72
"Continente","CS COQUEIROS","2013 Q1",596,"Médico",602
"Centro","CS CÓRREGO GRANDE","2013 Q1",232,"Médico",172
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1",587,"Médico",302
"Continente","CS ESTREITO","2013 Q1",508,"Médico",82
"Norte","CS INGLESES","2013 Q1",992,"Médico",432
"Centro","CS ITACORUBI","2013 Q1",661,"Médico",192
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1",655,"Médico",472
"Continente","CS MONTE CRISTO","2013 Q1",311,"Médico",42
"Centro","CS MONTE SERRAT","2013 Q1",676,"Médico",122
"Continente","CS NOVO CONTINENTE","2013 Q1",375,"Médico",102
"Centro","CS PRAINHA","2013 Q1",706,"Médico",132
"Sul","CS RIO TAVARES","2013 Q1",174,"Médico",292
"Norte","CS RIO VERMELHO","2013 Q1",466,"Médico",422
"Centro","CS SACO DOS LIMÕES","2013 Q1",744,"Médico",312
"Norte","CS SACO GRANDE","2013 Q1",1037,"Médico",332
"Sul","CS TAPERA","2013 Q1",1003,"Médico",262
"Centro","CS TRINDADE","2013 Q1",449,"Médico",852
"Centro","CS AGRONÔMICA","2013 Q1",557,"Médico",693
"Norte","CS CANASVIEIRAS","2013 Q1",405,"Médico",383
"Continente","CS ESTREITO","2013 Q1",519,"Médico",83
"Norte","CS INGLESES","2013 Q1",738,"Médico",433
"Centro","CS ITACORUBI","2013 Q1",347,"Médico",193
"Continente","CS MONTE CRISTO","2013 Q1",547,"Médico",43
"Sul","CS RIO TAVARES","2013 Q1",84,"Médico",293
"Norte","CS RIO VERMELHO","2013 Q1",596,"Médico",423
"Centro","CS SACO DOS LIMÕES","2013 Q1",98,"Médico",313
"Norte","CS SACO GRANDE","2013 Q1",803,"Médico",333
"Sul","CS TAPERA","2013 Q1",763,"Médico",263
"Centro","CS TRINDADE","2013 Q1",384,"Médico",853
"Centro","CS SACO DOS LIMÕES","2013 Q1",6,"Médico",NA
"Norte","CS CANASVIEIRAS","2013 Q1",489,"Médico",384
"Norte","CS INGLESES","2013 Q1",517,"Médico",434
"Continente","CS MONTE CRISTO","2013 Q1",734,"Médico",44
"Norte","CS RIO VERMELHO","2013 Q1",382,"Médico",424
"Centro","CS SACO DOS LIMÕES","2013 Q1",65,"Médico",314
"Norte","CS SACO GRANDE","2013 Q1",1018,"Médico",334
"Centro","CS TRINDADE","2013 Q1",311,"Médico",854
"Norte","CS INGLESES","2013 Q1",825,"Médico",435
"Continente","CS MONTE CRISTO","2013 Q1",490,"Médico",45
"Norte","CS SACO GRANDE","2013 Q1",1132,"Médico",335
"Centro","CS TRINDADE","2013 Q1",72,"Médico",NA
"Norte","CS INGLESES","2013 Q1",1015,"Médico",436
"Continente","CS MONTE CRISTO","2013 Q1",150,"Médico",46
"Norte","CS INGLESES","2013 Q1",207,"Médico",437
"Norte","CS INGLESES","2013 Q1",139,"Médico",438
"Continente","CS ABRAÃO","2013 Q2",609,"Médico",570
"Centro","CS AGRONÔMICA","2013 Q2",643,"Médico",690
"Sul","CS ALTO RIBEIRÃO","2013 Q2",1326,"Médico",210
"Sul","CS ARMAÇÃO","2013 Q2",749,"Médico",240
"Continente","CS BALNEÁRIO","2013 Q2",467,"Médico",20
"Norte","CS BARRA DA LAGOA","2013 Q2",658,"Médico",440
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2",753,"Médico",400
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q2",586,"Médico",200
"Sul","CS CAMPECHE","2013 Q2",715,"Médico",280
"Norte","CS CANASVIEIRAS","2013 Q2",609,"Médico",380
"Sul","CS CANTO DA LAGOA","2013 Q2",678,"Médico",450
"Continente","CS CAPOEIRAS","2013 Q2",577,"Médico",60
"Sul","CS CARIANOS","2013 Q2",682,"Médico",270
"Centro","CS CENTRO","2013 Q2",823,"Médico",950
"Continente","CS COLONINHA","2013 Q2",568,"Médico",70
"Continente","CS COQUEIROS","2013 Q2",460,"Médico",600
"Centro","CS CÓRREGO GRANDE","2013 Q2",555,"Médico",170
"Sul","CS COSTA DA LAGOA","2013 Q2",597,"Médico",460
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2",617,"Médico",300
"Continente","CS ESTREITO","2013 Q2",533,"Médico",80
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2",662,"Médico",780
"Centro","CS ITACORUBI","2013 Q2",522,"Médico",190
"Continente","CS JARDIM ATLÂNTICO","2013 Q2",90,"Médico",10
"Centro","CS JOÃO PAULO","2013 Q2",1082,"Médico",320
"Norte","CS JURERE","2013 Q2",687,"Médico",390
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2",705,"Médico",470
"Continente","CS MONTE CRISTO","2013 Q2",568,"Médico",40
"Centro","CS MONTE SERRAT","2013 Q2",575,"Médico",120
"Sul","CS MORRO DAS PEDRAS","2013 Q2",479,"Médico",250
"Continente","CS NOVO CONTINENTE","2013 Q2",507,"Médico",100
"Centro","CS PANTANAL","2013 Q2",710,"Médico",160
"Sul","CS PANTANO DO SUL","2013 Q2",568,"Médico",230
"Norte","CS PONTA DAS CANAS","2013 Q2",325,"Médico",370
"Centro","CS PRAINHA","2013 Q2",517,"Médico",130
"Norte","CS RATONES","2013 Q2",522,"Médico",350
"Sul","CS RIBEIRÃO DA ILHA","2013 Q2",909,"Médico",220
"Sul","CS RIO TAVARES","2013 Q2",791,"Médico",290
"Norte","CS RIO VERMELHO","2013 Q2",879,"Médico",420
"Centro","CS SACO DOS LIMÕES","2013 Q2",304,"Médico",310
"Norte","CS SACO GRANDE","2013 Q2",1062,"Médico",330
"Norte","CS SANTINHO","2013 Q2",482,"Médico",980
"Norte","CS SANTO ANTONIO LISBOA","2013 Q2",749,"Médico",360
"Continente","CS SAPE","2013 Q2",417,"Médico",30
"Sul","CS TAPERA","2013 Q2",1074,"Médico",260
"Centro","CS TRINDADE","2013 Q2",574,"Médico",850
"Norte","CS VARGEM GRANDE","2013 Q2",176,"Médico",410
"Norte","CS VARGEM PEQUENA","2013 Q2",502,"Médico",340
"Continente","CS VILA APARECIDA","2013 Q2",430,"Médico",90
"Continente","CS ABRAÃO","2013 Q2",490,"Médico",571
"Centro","CS AGRONÔMICA","2013 Q2",540,"Médico",691
"Sul","CS ARMAÇÃO","2013 Q2",524,"Médico",241
"Continente","CS BALNEÁRIO","2013 Q2",393,"Médico",21
"Norte","CS BARRA DA LAGOA","2013 Q2",897,"Médico",441
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2",533,"Médico",401
"Sul","CS CAMPECHE","2013 Q2",533,"Médico",281
"Norte","CS CANASVIEIRAS","2013 Q2",748,"Médico",381
"Continente","CS CAPOEIRAS","2013 Q2",443,"Médico",61
"Sul","CS CARIANOS","2013 Q2",836,"Médico",271
"Centro","CS CENTRO","2013 Q2",356,"Médico",951
"Continente","CS COLONINHA","2013 Q2",508,"Médico",71
"Continente","CS COQUEIROS","2013 Q2",597,"Médico",601
"Centro","CS CÓRREGO GRANDE","2013 Q2",524,"Médico",171
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2",841,"Médico",301
"Continente","CS ESTREITO","2013 Q2",470,"Médico",81
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2",787,"Médico",781
"Norte","CS INGLESES","2013 Q2",765,"Médico",431
"Centro","CS ITACORUBI","2013 Q2",739,"Médico",191
"Continente","CS JARDIM ATLÂNTICO","2013 Q2",78,"Médico",11
"Centro","CS JOÃO PAULO","2013 Q2",626,"Médico",321
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2",560,"Médico",471
"Continente","CS MONTE CRISTO","2013 Q2",811,"Médico",41
"Centro","CS MONTE SERRAT","2013 Q2",482,"Médico",121
"Sul","CS MORRO DAS PEDRAS","2013 Q2",765,"Médico",251
"Continente","CS NOVO CONTINENTE","2013 Q2",370,"Médico",101
"Centro","CS PANTANAL","2013 Q2",537,"Médico",161
"Norte","CS PONTA DAS CANAS","2013 Q2",113,"Médico",371
"Centro","CS PRAINHA","2013 Q2",527,"Médico",131
"Norte","CS RATONES","2013 Q2",261,"Médico",351
"Sul","CS RIO TAVARES","2013 Q2",553,"Médico",291
"Norte","CS RIO VERMELHO","2013 Q2",744,"Médico",421
"Centro","CS SACO DOS LIMÕES","2013 Q2",516,"Médico",311
"Norte","CS SACO GRANDE","2013 Q2",1064,"Médico",331
"Norte","CS SANTINHO","2013 Q2",661,"Médico",981
"Norte","CS SANTO ANTONIO LISBOA","2013 Q2",760,"Médico",361
"Continente","CS SAPE","2013 Q2",510,"Médico",31
"Sul","CS TAPERA","2013 Q2",828,"Médico",261
"Centro","CS TRINDADE","2013 Q2",573,"Médico",851
"Norte","CS VARGEM GRANDE","2013 Q2",1,"Médico",NA
"Continente","CS VILA APARECIDA","2013 Q2",296,"Médico",91
"Continente","CS ABRAÃO","2013 Q2",398,"Médico",572
"Centro","CS AGRONÔMICA","2013 Q2",651,"Médico",692
"Sul","CS ARMAÇÃO","2013 Q2",159,"Médico",242
"Norte","CS BARRA DA LAGOA","2013 Q2",270,"Médico",442
"Norte","CS CANASVIEIRAS","2013 Q2",522,"Médico",382
"Continente","CS CAPOEIRAS","2013 Q2",396,"Médico",62
"Sul","CS CARIANOS","2013 Q2",92,"Médico",272
"Centro","CS CENTRO","2013 Q2",560,"Médico",952
"Continente","CS COLONINHA","2013 Q2",641,"Médico",72
"Continente","CS COQUEIROS","2013 Q2",520,"Médico",602
"Centro","CS CÓRREGO GRANDE","2013 Q2",250,"Médico",172
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2",680,"Médico",302
"Continente","CS ESTREITO","2013 Q2",471,"Médico",82
"Norte","CS INGLESES","2013 Q2",1084,"Médico",432
"Centro","CS ITACORUBI","2013 Q2",655,"Médico",192
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2",655,"Médico",472
"Continente","CS MONTE CRISTO","2013 Q2",281,"Médico",42
"Centro","CS MONTE SERRAT","2013 Q2",673,"Médico",122
"Continente","CS NOVO CONTINENTE","2013 Q2",388,"Médico",102
"Centro","CS PRAINHA","2013 Q2",705,"Médico",132
"Sul","CS RIO TAVARES","2013 Q2",252,"Médico",292
"Norte","CS RIO VERMELHO","2013 Q2",631,"Médico",422
"Centro","CS SACO DOS LIMÕES","2013 Q2",503,"Médico",312
"Norte","CS SACO GRANDE","2013 Q2",1195,"Médico",332
"Sul","CS TAPERA","2013 Q2",1237,"Médico",262
"Centro","CS TRINDADE","2013 Q2",680,"Médico",852
"Centro","CS AGRONÔMICA","2013 Q2",640,"Médico",693
"Norte","CS CANASVIEIRAS","2013 Q2",483,"Médico",383
"Continente","CS ESTREITO","2013 Q2",566,"Médico",83
"Norte","CS INGLESES","2013 Q2",546,"Médico",433
"Centro","CS ITACORUBI","2013 Q2",413,"Médico",193
"Continente","CS MONTE CRISTO","2013 Q2",623,"Médico",43
"Sul","CS RIO TAVARES","2013 Q2",119,"Médico",293
"Norte","CS RIO VERMELHO","2013 Q2",732,"Médico",423
"Centro","CS SACO DOS LIMÕES","2013 Q2",81,"Médico",313
"Norte","CS SACO GRANDE","2013 Q2",878,"Médico",333
"Sul","CS TAPERA","2013 Q2",1020,"Médico",263
"Centro","CS TRINDADE","2013 Q2",530,"Médico",853
"Centro","CS SACO DOS LIMÕES","2013 Q2",4,"Médico",NA
"Norte","CS CANASVIEIRAS","2013 Q2",516,"Médico",384
"Norte","CS INGLESES","2013 Q2",576,"Médico",434
"Continente","CS MONTE CRISTO","2013 Q2",746,"Médico",44
"Norte","CS RIO VERMELHO","2013 Q2",446,"Médico",424
"Centro","CS SACO DOS LIMÕES","2013 Q2",57,"Médico",314
"Norte","CS SACO GRANDE","2013 Q2",1067,"Médico",334
"Centro","CS TRINDADE","2013 Q2",396,"Médico",854
"Norte","CS INGLESES","2013 Q2",928,"Médico",435
"Continente","CS MONTE CRISTO","2013 Q2",565,"Médico",45
"Norte","CS SACO GRANDE","2013 Q2",1069,"Médico",335
"Centro","CS TRINDADE","2013 Q2",108,"Médico",NA
"Norte","CS INGLESES","2013 Q2",1079,"Médico",436
"Continente","CS MONTE CRISTO","2013 Q2",154,"Médico",46
"Norte","CS INGLESES","2013 Q2",266,"Médico",437
"Norte","CS INGLESES","2013 Q2",212,"Médico",438
"Continente","CS ABRAÃO","2013 Q3",578,"Médico",570
"Centro","CS AGRONÔMICA","2013 Q3",616,"Médico",690
"Sul","CS ALTO RIBEIRÃO","2013 Q3",1396,"Médico",210
"Sul","CS ARMAÇÃO","2013 Q3",706,"Médico",240
"Continente","CS BALNEÁRIO","2013 Q3",459,"Médico",20
"Norte","CS BARRA DA LAGOA","2013 Q3",727,"Médico",440
"Norte","CS CACHOEIRA BOM JESUS","2013 Q3",747,"Médico",400
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q3",639,"Médico",200
"Sul","CS CAMPECHE","2013 Q3",780,"Médico",280
"Norte","CS CANASVIEIRAS","2013 Q3",578,"Médico",380
"Sul","CS CANTO DA LAGOA","2013 Q3",610,"Médico",450
"Continente","CS CAPOEIRAS","2013 Q3",677,"Médico",60
"Sul","CS CARIANOS","2013 Q3",978,"Médico",270
"Centro","CS CENTRO","2013 Q3",703,"Médico",950
"Continente","CS COLONINHA","2013 Q3",815,"Médico",70
"Continente","CS COQUEIROS","2013 Q3",438,"Médico",600
"Centro","CS CÓRREGO GRANDE","2013 Q3",718,"Médico",170
"Sul","CS COSTA DA LAGOA","2013 Q3",505,"Médico",460
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q3",771,"Médico",300
"Continente","CS ESTREITO","2013 Q3",565,"Médico",80
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q3",670,"Médico",780
"Centro","CS ITACORUBI","2013 Q3",604,"Médico",190
"Continente","CS JARDIM ATLÂNTICO","2013 Q3",87,"Médico",10
"Centro","CS JOÃO PAULO","2013 Q3",1025,"Médico",320
"Norte","CS JURERE","2013 Q3",702,"Médico",390
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q3",730,"Médico",470
"Continente","CS MONTE CRISTO","2013 Q3",498,"Médico",40
"Centro","CS MONTE SERRAT","2013 Q3",708,"Médico",120
"Sul","CS MORRO DAS PEDRAS","2013 Q3",395,"Médico",250
"Continente","CS NOVO CONTINENTE","2013 Q3",523,"Médico",100
"Centro","CS PANTANAL","2013 Q3",757,"Médico",160
"Sul","CS PANTANO DO SUL","2013 Q3",579,"Médico",230
"Norte","CS PONTA DAS CANAS","2013 Q3",578,"Médico",370
"Centro","CS PRAINHA","2013 Q3",537,"Médico",130
"Norte","CS RATONES","2013 Q3",476,"Médico",350
"Sul","CS RIBEIRÃO DA ILHA","2013 Q3",792,"Médico",220
"Sul","CS RIO TAVARES","2013 Q3",816,"Médico",290
"Norte","CS RIO VERMELHO","2013 Q3",789,"Médico",420
"Centro","CS SACO DOS LIMÕES","2013 Q3",319,"Médico",310
"Norte","CS SACO GRANDE","2013 Q3",1078,"Médico",330
"Norte","CS SANTINHO","2013 Q3",523,"Médico",980
"Norte","CS SANTO ANTONIO LISBOA","2013 Q3",844,"Médico",360
"Continente","CS SAPE","2013 Q3",473,"Médico",30
"Sul","CS TAPERA","2013 Q3",1154,"Médico",260
"Centro","CS TRINDADE","2013 Q3",598,"Médico",850
"Norte","CS VARGEM GRANDE","2013 Q3",178,"Médico",410
"Norte","CS VARGEM PEQUENA","2013 Q3",509,"Médico",340
"Continente","CS VILA APARECIDA","2013 Q3",304,"Médico",90
"Continente","CS ABRAÃO","2013 Q3",510,"Médico",571
"Centro","CS AGRONÔMICA","2013 Q3",447,"Médico",691
"Sul","CS ARMAÇÃO","2013 Q3",536,"Médico",241
"Continente","CS BALNEÁRIO","2013 Q3",559,"Médico",21
"Norte","CS BARRA DA LAGOA","2013 Q3",869,"Médico",441
"Norte","CS CACHOEIRA BOM JESUS","2013 Q3",403,"Médico",401
"Sul","CS CAMPECHE","2013 Q3",476,"Médico",281
"Norte","CS CANASVIEIRAS","2013 Q3",685,"Médico",381
"Continente","CS CAPOEIRAS","2013 Q3",436,"Médico",61
"Sul","CS CARIANOS","2013 Q3",855,"Médico",271
"Centro","CS CENTRO","2013 Q3",343,"Médico",951
"Continente","CS COLONINHA","2013 Q3",715,"Médico",71
"Continente","CS COQUEIROS","2013 Q3",641,"Médico",601
"Centro","CS CÓRREGO GRANDE","2013 Q3",543,"Médico",171
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q3",839,"Médico",301
"Continente","CS ESTREITO","2013 Q3",535,"Médico",81
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q3",828,"Médico",781
"Norte","CS INGLESES","2013 Q3",616,"Médico",431
"Centro","CS ITACORUBI","2013 Q3",720,"Médico",191
"Continente","CS JARDIM ATLÂNTICO","2013 Q3",96,"Médico",11
"Centro","CS JOÃO PAULO","2013 Q3",629,"Médico",321
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q3",555,"Médico",471
"Continente","CS MONTE CRISTO","2013 Q3",778,"Médico",41
"Centro","CS MONTE SERRAT","2013 Q3",569,"Médico",121
"Sul","CS MORRO DAS PEDRAS","2013 Q3",729,"Médico",251
"Continente","CS NOVO CONTINENTE","2013 Q3",363,"Médico",101
"Centro","CS PANTANAL","2013 Q3",578,"Médico",161
"Norte","CS PONTA DAS CANAS","2013 Q3",246,"Médico",371
"Centro","CS PRAINHA","2013 Q3",568,"Médico",131
"Norte","CS RATONES","2013 Q3",246,"Médico",351
"Sul","CS RIO TAVARES","2013 Q3",565,"Médico",291
"Norte","CS RIO VERMELHO","2013 Q3",674,"Médico",421
"Centro","CS SACO DOS LIMÕES","2013 Q3",494,"Médico",311
"Norte","CS SACO GRANDE","2013 Q3",1218,"Médico",331
"Norte","CS SANTINHO","2013 Q3",570,"Médico",981
"Norte","CS SANTO ANTONIO LISBOA","2013 Q3",918,"Médico",361
"Continente","CS SAPE","2013 Q3",502,"Médico",31
"Sul","CS TAPERA","2013 Q3",1034,"Médico",261
"Centro","CS TRINDADE","2013 Q3",531,"Médico",851
"Norte","CS VARGEM GRANDE","2013 Q3",2,"Médico",NA
"Continente","CS VILA APARECIDA","2013 Q3",216,"Médico",91
"Continente","CS ABRAÃO","2013 Q3",407,"Médico",572
"Centro","CS AGRONÔMICA","2013 Q3",620,"Médico",692
"Sul","CS ARMAÇÃO","2013 Q3",126,"Médico",242
"Norte","CS BARRA DA LAGOA","2013 Q3",267,"Médico",442
"Norte","CS CANASVIEIRAS","2013 Q3",531,"Médico",382
"Continente","CS CAPOEIRAS","2013 Q3",352,"Médico",62
"Sul","CS CARIANOS","2013 Q3",98,"Médico",272
"Centro","CS CENTRO","2013 Q3",456,"Médico",952
"Continente","CS COLONINHA","2013 Q3",829,"Médico",72
"Continente","CS COQUEIROS","2013 Q3",707,"Médico",602
"Centro","CS CÓRREGO GRANDE","2013 Q3",313,"Médico",172
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q3",640,"Médico",302
"Continente","CS ESTREITO","2013 Q3",502,"Médico",82
"Norte","CS INGLESES","2013 Q3",989,"Médico",432
"Centro","CS ITACORUBI","2013 Q3",735,"Médico",192
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q3",641,"Médico",472
"Continente","CS MONTE CRISTO","2013 Q3",332,"Médico",42
"Centro","CS MONTE SERRAT","2013 Q3",725,"Médico",122
"Continente","CS NOVO CONTINENTE","2013 Q3",406,"Médico",102
"Centro","CS PRAINHA","2013 Q3",705,"Médico",132
"Sul","CS RIO TAVARES","2013 Q3",276,"Médico",292
"Norte","CS RIO VERMELHO","2013 Q3",633,"Médico",422
"Centro","CS SACO DOS LIMÕES","2013 Q3",453,"Médico",312
"Norte","CS SACO GRANDE","2013 Q3",1108,"Médico",332
"Sul","CS TAPERA","2013 Q3",1253,"Médico",262
"Centro","CS TRINDADE","2013 Q3",580,"Médico",852
"Centro","CS AGRONÔMICA","2013 Q3",601,"Médico",693
"Norte","CS CANASVIEIRAS","2013 Q3",396,"Médico",383
"Continente","CS ESTREITO","2013 Q3",693,"Médico",83
"Norte","CS INGLESES","2013 Q3",638,"Médico",433
"Centro","CS ITACORUBI","2013 Q3",364,"Médico",193
"Continente","CS MONTE CRISTO","2013 Q3",598,"Médico",43
"Sul","CS RIO TAVARES","2013 Q3",117,"Médico",293
"Norte","CS RIO VERMELHO","2013 Q3",725,"Médico",423
"Centro","CS SACO DOS LIMÕES","2013 Q3",103,"Médico",313
"Norte","CS SACO GRANDE","2013 Q3",901,"Médico",333
"Sul","CS TAPERA","2013 Q3",1239,"Médico",263
"Centro","CS TRINDADE","2013 Q3",481,"Médico",853
"Centro","CS SACO DOS LIMÕES","2013 Q3",4,"Médico",NA
"Norte","CS CANASVIEIRAS","2013 Q3",505,"Médico",384
"Norte","CS INGLESES","2013 Q3",539,"Médico",434
"Continente","CS MONTE CRISTO","2013 Q3",754,"Médico",44
"Norte","CS RIO VERMELHO","2013 Q3",338,"Médico",424
"Centro","CS SACO DOS LIMÕES","2013 Q3",65,"Médico",314
