"DISTRITO","UNIDADE","TRIMESTRE","ESPECIALIDADE","VALOR"
"Sul","CS CANTO DA LAGOA","2018 Q2","Médico e Enfermeiro",529
"Continente","CS CAPOEIRAS","2018 Q2","Médico e Enfermeiro",2356
"Sul","CS CARIANOS","2018 Q2","Médico e Enfermeiro",2665
"Centro","CS CENTRO","2018 Q2","Médico e Enfermeiro",3577
"Continente","CS COLONINHA","2018 Q2","Médico e Enfermeiro",2917
"Continente","CS COQUEIROS","2018 Q2","Médico e Enfermeiro",2998
"Centro","CS CÓRREGO GRANDE","2018 Q2","Médico e Enfermeiro",2332
"Sul","CS COSTA DA LAGOA","2018 Q2","Médico e Enfermeiro",360
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","Médico e Enfermeiro",4844
"Continente","CS ESTREITO","2018 Q2","Médico e Enfermeiro",3654
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","Médico e Enfermeiro",2554
"Norte","CS INGLESES","2018 Q2","Médico e Enfermeiro",8715
"Centro","CS ITACORUBI","2018 Q2","Médico e Enfermeiro",4577
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","Médico e Enfermeiro",880
"Centro","CS JOÃO PAULO","2018 Q2","Médico e Enfermeiro",3259
"Norte","CS JURERE","2018 Q2","Médico e Enfermeiro",1464
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","Médico e Enfermeiro",3279
"Continente","CS MONTE CRISTO","2018 Q2","Médico e Enfermeiro",8997
"Centro","CS MONTE SERRAT","2018 Q2","Médico e Enfermeiro",3680
"Sul","CS MORRO DAS PEDRAS","2018 Q2","Médico e Enfermeiro",2341
"Continente","CS NOVO CONTINENTE","2018 Q2","Médico e Enfermeiro",3533
"Centro","CS PANTANAL","2018 Q2","Médico e Enfermeiro",1819
"Sul","CS PANTANO DO SUL","2018 Q2","Médico e Enfermeiro",1534
"Norte","CS PONTA DAS CANAS","2018 Q2","Médico e Enfermeiro",1278
"Centro","CS PRAINHA","2018 Q2","Médico e Enfermeiro",2530
"Norte","CS RATONES","2018 Q2","Médico e Enfermeiro",1483
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","Médico e Enfermeiro",864
"Sul","CS RIO TAVARES","2018 Q2","Médico e Enfermeiro",2023
"Norte","CS RIO VERMELHO","2018 Q2","Médico e Enfermeiro",7400
"Centro","CS SACO DOS LIMÕES","2018 Q2","Médico e Enfermeiro",3937
"Norte","CS SACO GRANDE","2018 Q2","Médico e Enfermeiro",8515
"Norte","CS SANTINHO","2018 Q2","Médico e Enfermeiro",2572
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","Médico e Enfermeiro",2717
"Continente","CS SAPE","2018 Q2","Médico e Enfermeiro",1853
"Sul","CS TAPERA","2018 Q2","Médico e Enfermeiro",6274
"Centro","CS TRINDADE","2018 Q2","Médico e Enfermeiro",5179
"Norte","CS VARGEM GRANDE","2018 Q2","Médico e Enfermeiro",1456
"Norte","CS VARGEM PEQUENA","2018 Q2","Médico e Enfermeiro",951
"Continente","CS VILA APARECIDA","2018 Q2","Médico e Enfermeiro",1125
"Continente","CS ABRAÃO","2018 Q2","Odontólogo",247
"Centro","CS AGRONÔMICA","2018 Q2","Odontólogo",607
"Sul","CS ALTO RIBEIRÃO","2018 Q2","Odontólogo",180
"Sul","CS ARMAÇÃO","2018 Q2","Odontólogo",441
"Continente","CS BALNEÁRIO","2018 Q2","Odontólogo",180
"Norte","CS BARRA DA LAGOA","2018 Q2","Odontólogo",308
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","Odontólogo",318
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","Odontólogo",33
"Sul","CS CAMPECHE","2018 Q2","Odontólogo",225
"Norte","CS CANASVIEIRAS","2018 Q2","Odontólogo",453
"Sul","CS CANTO DA LAGOA","2018 Q2","Odontólogo",73
"Continente","CS CAPOEIRAS","2018 Q2","Odontólogo",442
"Sul","CS CARIANOS","2018 Q2","Odontólogo",460
"Centro","CS CENTRO","2018 Q2","Odontólogo",263
"Continente","CS COLONINHA","2018 Q2","Odontólogo",358
"Continente","CS COQUEIROS","2018 Q2","Odontólogo",467
"Centro","CS CÓRREGO GRANDE","2018 Q2","Odontólogo",230
"Sul","CS COSTA DA LAGOA","2018 Q2","Odontólogo",24
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","Odontólogo",410
"Continente","CS ESTREITO","2018 Q2","Odontólogo",317
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","Odontólogo",272
"Norte","CS INGLESES","2018 Q2","Odontólogo",984
"Centro","CS ITACORUBI","2018 Q2","Odontólogo",284
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","Odontólogo",204
"Centro","CS JOÃO PAULO","2018 Q2","Odontólogo",286
"Norte","CS JURERE","2018 Q2","Odontólogo",217
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","Odontólogo",196
"Continente","CS MONTE CRISTO","2018 Q2","Odontólogo",835
"Centro","CS MONTE SERRAT","2018 Q2","Odontólogo",286
"Sul","CS MORRO DAS PEDRAS","2018 Q2","Odontólogo",305
"Continente","CS NOVO CONTINENTE","2018 Q2","Odontólogo",261
"Centro","CS PANTANAL","2018 Q2","Odontólogo",145
"Sul","CS PANTANO DO SUL","2018 Q2","Odontólogo",189
"Norte","CS PONTA DAS CANAS","2018 Q2","Odontólogo",50
"Centro","CS PRAINHA","2018 Q2","Odontólogo",319
"Norte","CS RATONES","2018 Q2","Odontólogo",138
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","Odontólogo",164
"Sul","CS RIO TAVARES","2018 Q2","Odontólogo",231
"Norte","CS RIO VERMELHO","2018 Q2","Odontólogo",732
"Centro","CS SACO DOS LIMÕES","2018 Q2","Odontólogo",135
"Norte","CS SACO GRANDE","2018 Q2","Odontólogo",738
"Norte","CS SANTINHO","2018 Q2","Odontólogo",591
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","Odontólogo",400
"Continente","CS SAPE","2018 Q2","Odontólogo",182
"Sul","CS TAPERA","2018 Q2","Odontólogo",403
"Centro","CS TRINDADE","2018 Q2","Odontólogo",463
"Norte","CS VARGEM GRANDE","2018 Q2","Odontólogo",131
"Norte","CS VARGEM PEQUENA","2018 Q2","Odontólogo",167
"Continente","CS VILA APARECIDA","2018 Q2","Odontólogo",247
"Continente","CS ABRAÃO","2018 Q2","Total",9163
"Centro","CS AGRONÔMICA","2018 Q2","Total",20430
"Sul","CS ALTO RIBEIRÃO","2018 Q2","Total",6926
"Sul","CS ARMAÇÃO","2018 Q2","Total",10247
"Continente","CS BALNEÁRIO","2018 Q2","Total",8382
"Norte","CS BARRA DA LAGOA","2018 Q2","Total",10688
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","Total",9585
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","Total",3230
"Sul","CS CAMPECHE","2018 Q2","Total",10454
"Norte","CS CANASVIEIRAS","2018 Q2","Total",18895
"Sul","CS CANTO DA LAGOA","2018 Q2","Total",2352
"Continente","CS CAPOEIRAS","2018 Q2","Total",9429
"Sul","CS CARIANOS","2018 Q2","Total",10250
"Centro","CS CENTRO","2018 Q2","Total",13584
"Continente","CS COLONINHA","2018 Q2","Total",11266
"Continente","CS COQUEIROS","2018 Q2","Total",11507
"Centro","CS CÓRREGO GRANDE","2018 Q2","Total",8255
"Sul","CS COSTA DA LAGOA","2018 Q2","Total",1266
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","Total",17308
"Continente","CS ESTREITO","2018 Q2","Total",12928
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","Total",10162
"Norte","CS INGLESES","2018 Q2","Total",32561
"Centro","CS ITACORUBI","2018 Q2","Total",15561
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","Total",4332
"Centro","CS JOÃO PAULO","2018 Q2","Total",9965
"Norte","CS JURERE","2018 Q2","Total",5941
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","Total",11197
"Continente","CS MONTE CRISTO","2018 Q2","Total",28699
"Centro","CS MONTE SERRAT","2018 Q2","Total",12813
"Sul","CS MORRO DAS PEDRAS","2018 Q2","Total",8688
"Continente","CS NOVO CONTINENTE","2018 Q2","Total",11920
"Centro","CS PANTANAL","2018 Q2","Total",6696
"Sul","CS PANTANO DO SUL","2018 Q2","Total",5618
"Norte","CS PONTA DAS CANAS","2018 Q2","Total",5454
"Centro","CS PRAINHA","2018 Q2","Total",10338
"Norte","CS RATONES","2018 Q2","Total",5503
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","Total",3542
"Sul","CS RIO TAVARES","2018 Q2","Total",8850
"Norte","CS RIO VERMELHO","2018 Q2","Total",27076
"Centro","CS SACO DOS LIMÕES","2018 Q2","Total",14284
"Norte","CS SACO GRANDE","2018 Q2","Total",29307
"Norte","CS SANTINHO","2018 Q2","Total",9955
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","Total",10087
"Continente","CS SAPE","2018 Q2","Total",7067
"Sul","CS TAPERA","2018 Q2","Total",20875
"Centro","CS TRINDADE","2018 Q2","Total",18465
"Norte","CS VARGEM GRANDE","2018 Q2","Total",5683
"Norte","CS VARGEM PEQUENA","2018 Q2","Total",3396
"Continente","CS VILA APARECIDA","2018 Q2","Total",4499
"Continente","CS ABRAÃO","2013 Q1","Enfermeiro",469
"Centro","CS AGRONÔMICA","2013 Q1","Enfermeiro",1114
"Sul","CS ALTO RIBEIRÃO","2013 Q1","Enfermeiro",313
"Sul","CS ARMAÇÃO","2013 Q1","Enfermeiro",857
"Continente","CS BALNEÁRIO","2013 Q1","Enfermeiro",293
"Norte","CS BARRA DA LAGOA","2013 Q1","Enfermeiro",821
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1","Enfermeiro",716
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1","Enfermeiro",191
"Sul","CS CAMPECHE","2013 Q1","Enfermeiro",1034
"Norte","CS CANASVIEIRAS","2013 Q1","Enfermeiro",1274
"Sul","CS CANTO DA LAGOA","2013 Q1","Enfermeiro",204
"Continente","CS CAPOEIRAS","2013 Q1","Enfermeiro",381
"Sul","CS CARIANOS","2013 Q1","Enfermeiro",442
"Centro","CS CENTRO","2013 Q1","Enfermeiro",1152
"Continente","CS COLONINHA","2013 Q1","Enfermeiro",641
"Continente","CS COQUEIROS","2013 Q1","Enfermeiro",912
"Centro","CS CÓRREGO GRANDE","2013 Q1","Enfermeiro",871
"Sul","CS COSTA DA LAGOA","2013 Q1","Enfermeiro",254
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1","Enfermeiro",1039
"Continente","CS ESTREITO","2013 Q1","Enfermeiro",746
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1","Enfermeiro",551
"Norte","CS INGLESES","2013 Q1","Enfermeiro",2550
"Centro","CS ITACORUBI","2013 Q1","Enfermeiro",1049
"Continente","CS JARDIM ATLÂNTICO","2013 Q1","Enfermeiro",145
"Centro","CS JOÃO PAULO","2013 Q1","Enfermeiro",763
"Norte","CS JURERE","2013 Q1","Enfermeiro",200
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1","Enfermeiro",1139
"Continente","CS MONTE CRISTO","2013 Q1","Enfermeiro",1004
"Centro","CS MONTE SERRAT","2013 Q1","Enfermeiro",1228
"Sul","CS MORRO DAS PEDRAS","2013 Q1","Enfermeiro",439
"Continente","CS NOVO CONTINENTE","2013 Q1","Enfermeiro",657
"Centro","CS PANTANAL","2013 Q1","Enfermeiro",874
"Sul","CS PANTANO DO SUL","2013 Q1","Enfermeiro",405
"Norte","CS PONTA DAS CANAS","2013 Q1","Enfermeiro",158
"Centro","CS PRAINHA","2013 Q1","Enfermeiro",1530
"Norte","CS RATONES","2013 Q1","Enfermeiro",264
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1","Enfermeiro",104
"Sul","CS RIO TAVARES","2013 Q1","Enfermeiro",682
"Norte","CS RIO VERMELHO","2013 Q1","Enfermeiro",1091
"Centro","CS SACO DOS LIMÕES","2013 Q1","Enfermeiro",1078
"Norte","CS SACO GRANDE","2013 Q1","Enfermeiro",2999
"Norte","CS SANTINHO","2013 Q1","Enfermeiro",485
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1","Enfermeiro",576
"Continente","CS SAPE","2013 Q1","Enfermeiro",130
"Sul","CS TAPERA","2013 Q1","Enfermeiro",2482
"Centro","CS TRINDADE","2013 Q1","Enfermeiro",984
"Norte","CS VARGEM GRANDE","2013 Q1","Enfermeiro",73
"Norte","CS VARGEM PEQUENA","2013 Q1","Enfermeiro",114
"Continente","CS VILA APARECIDA","2013 Q1","Enfermeiro",172
"Continente","CS ABRAÃO","2013 Q2","Enfermeiro",556
"Centro","CS AGRONÔMICA","2013 Q2","Enfermeiro",1114
"Sul","CS ALTO RIBEIRÃO","2013 Q2","Enfermeiro",425
"Sul","CS ARMAÇÃO","2013 Q2","Enfermeiro",861
"Continente","CS BALNEÁRIO","2013 Q2","Enfermeiro",373
"Norte","CS BARRA DA LAGOA","2013 Q2","Enfermeiro",757
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2","Enfermeiro",849
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q2","Enfermeiro",229
"Sul","CS CAMPECHE","2013 Q2","Enfermeiro",1266
"Norte","CS CANASVIEIRAS","2013 Q2","Enfermeiro",1640
"Sul","CS CANTO DA LAGOA","2013 Q2","Enfermeiro",231
"Continente","CS CAPOEIRAS","2013 Q2","Enfermeiro",419
"Sul","CS CARIANOS","2013 Q2","Enfermeiro",984
"Centro","CS CENTRO","2013 Q2","Enfermeiro",1188
"Continente","CS COLONINHA","2013 Q2","Enfermeiro",759
"Continente","CS COQUEIROS","2013 Q2","Enfermeiro",966
"Centro","CS CÓRREGO GRANDE","2013 Q2","Enfermeiro",823
"Sul","CS COSTA DA LAGOA","2013 Q2","Enfermeiro",197
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2","Enfermeiro",1048
"Continente","CS ESTREITO","2013 Q2","Enfermeiro",702
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2","Enfermeiro",556
"Norte","CS INGLESES","2013 Q2","Enfermeiro",2478
"Centro","CS ITACORUBI","2013 Q2","Enfermeiro",1776
"Continente","CS JARDIM ATLÂNTICO","2013 Q2","Enfermeiro",164
"Centro","CS JOÃO PAULO","2013 Q2","Enfermeiro",1006
"Norte","CS JURERE","2013 Q2","Enfermeiro",318
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2","Enfermeiro",1139
"Continente","CS MONTE CRISTO","2013 Q2","Enfermeiro",1326
"Centro","CS MONTE SERRAT","2013 Q2","Enfermeiro",1326
"Sul","CS MORRO DAS PEDRAS","2013 Q2","Enfermeiro",644
"Continente","CS NOVO CONTINENTE","2013 Q2","Enfermeiro",693
"Centro","CS PANTANAL","2013 Q2","Enfermeiro",1080
"Sul","CS PANTANO DO SUL","2013 Q2","Enfermeiro",412
"Norte","CS PONTA DAS CANAS","2013 Q2","Enfermeiro",285
"Centro","CS PRAINHA","2013 Q2","Enfermeiro",1538
"Norte","CS RATONES","2013 Q2","Enfermeiro",320
"Sul","CS RIBEIRÃO DA ILHA","2013 Q2","Enfermeiro",235
"Sul","CS RIO TAVARES","2013 Q2","Enfermeiro",621
"Norte","CS RIO VERMELHO","2013 Q2","Enfermeiro",1061
"Centro","CS SACO DOS LIMÕES","2013 Q2","Enfermeiro",886
"Norte","CS SACO GRANDE","2013 Q2","Enfermeiro",2722
"Norte","CS SANTINHO","2013 Q2","Enfermeiro",534
"Norte","CS SANTO ANTONIO LISBOA","2013 Q2","Enfermeiro",605
"Continente","CS SAPE","2013 Q2","Enfermeiro",337
"Sul","CS TAPERA","2013 Q2","Enfermeiro",2191
"Centro","CS TRINDADE","2013 Q2","Enfermeiro",1049
"Norte","CS VARGEM GRANDE","2013 Q2","Enfermeiro",96
"Norte","CS VARGEM PEQUENA","2013 Q2","Enfermeiro",164
"Continente","CS VILA APARECIDA","2013 Q2","Enfermeiro",221
"Continente","CS ABRAÃO","2013 Q3","Enfermeiro",648
"Centro","CS AGRONÔMICA","2013 Q3","Enfermeiro",1379
"Sul","CS ALTO RIBEIRÃO","2013 Q3","Enfermeiro",351
"Sul","CS ARMAÇÃO","2013 Q3","Enfermeiro",863
"Continente","CS BALNEÁRIO","2013 Q3","Enfermeiro",348
"Norte","CS BARRA DA LAGOA","2013 Q3","Enfermeiro",704
"Norte","CS CACHOEIRA BOM JESUS","2013 Q3","Enfermeiro",751
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q3","Enfermeiro",318
"Sul","CS CAMPECHE","2013 Q3","Enfermeiro",1510
"Norte","CS CANASVIEIRAS","2013 Q3","Enfermeiro",1329
"Sul","CS CANTO DA LAGOA","2013 Q3","Enfermeiro",226
"Continente","CS CAPOEIRAS","2013 Q3","Enfermeiro",800
"Sul","CS CARIANOS","2013 Q3","Enfermeiro",1007
"Centro","CS CENTRO","2013 Q3","Enfermeiro",1434
"Continente","CS COLONINHA","2013 Q3","Enfermeiro",748
"Continente","CS COQUEIROS","2013 Q3","Enfermeiro",1125
"Centro","CS CÓRREGO GRANDE","2013 Q3","Enfermeiro",1047
"Sul","CS COSTA DA LAGOA","2013 Q3","Enfermeiro",151
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q3","Enfermeiro",1478
"Continente","CS ESTREITO","2013 Q3","Enfermeiro",776
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q3","Enfermeiro",630
"Norte","CS INGLESES","2013 Q3","Enfermeiro",2636
"Centro","CS ITACORUBI","2013 Q3","Enfermeiro",1338
"Continente","CS JARDIM ATLÂNTICO","2013 Q3","Enfermeiro",226
"Centro","CS JOÃO PAULO","2013 Q3","Enfermeiro",998
"Norte","CS JURERE","2013 Q3","Enfermeiro",401
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q3","Enfermeiro",981
"Continente","CS MONTE CRISTO","2013 Q3","Enfermeiro",1831
"Centro","CS MONTE SERRAT","2013 Q3","Enfermeiro",1489
"Sul","CS MORRO DAS PEDRAS","2013 Q3","Enfermeiro",618
"Continente","CS NOVO CONTINENTE","2013 Q3","Enfermeiro",629
"Centro","CS PANTANAL","2013 Q3","Enfermeiro",1209
"Sul","CS PANTANO DO SUL","2013 Q3","Enfermeiro",361
"Norte","CS PONTA DAS CANAS","2013 Q3","Enfermeiro",414
"Centro","CS PRAINHA","2013 Q3","Enfermeiro",1546
"Norte","CS RATONES","2013 Q3","Enfermeiro",276
"Sul","CS RIBEIRÃO DA ILHA","2013 Q3","Enfermeiro",280
"Sul","CS RIO TAVARES","2013 Q3","Enfermeiro",588
"Norte","CS RIO VERMELHO","2013 Q3","Enfermeiro",1362
"Centro","CS SACO DOS LIMÕES","2013 Q3","Enfermeiro",1424
"Norte","CS SACO GRANDE","2013 Q3","Enfermeiro",3094
"Norte","CS SANTINHO","2013 Q3","Enfermeiro",409
"Norte","CS SANTO ANTONIO LISBOA","2013 Q3","Enfermeiro",652
"Continente","CS SAPE","2013 Q3","Enfermeiro",450
"Sul","CS TAPERA","2013 Q3","Enfermeiro",2326
"Centro","CS TRINDADE","2013 Q3","Enfermeiro",1156
"Norte","CS VARGEM GRANDE","2013 Q3","Enfermeiro",102
"Norte","CS VARGEM PEQUENA","2013 Q3","Enfermeiro",221
"Continente","CS VILA APARECIDA","2013 Q3","Enfermeiro",275
"Continente","CS ABRAÃO","2013 Q4","Enfermeiro",521
"Centro","CS AGRONÔMICA","2013 Q4","Enfermeiro",1091
"Sul","CS ALTO RIBEIRÃO","2013 Q4","Enfermeiro",403
"Sul","CS ARMAÇÃO","2013 Q4","Enfermeiro",603
"Continente","CS BALNEÁRIO","2013 Q4","Enfermeiro",610
"Norte","CS BARRA DA LAGOA","2013 Q4","Enfermeiro",461
"Norte","CS CACHOEIRA BOM JESUS","2013 Q4","Enfermeiro",474
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q4","Enfermeiro",225
"Sul","CS CAMPECHE","2013 Q4","Enfermeiro",1271
"Norte","CS CANASVIEIRAS","2013 Q4","Enfermeiro",1300
"Sul","CS CANTO DA LAGOA","2013 Q4","Enfermeiro",101
"Continente","CS CAPOEIRAS","2013 Q4","Enfermeiro",867
"Sul","CS CARIANOS","2013 Q4","Enfermeiro",776
