"DISTRITO","UNIDADE","AREA","ANO","MES","CONS_ENF","CONS_MED","CONS_ODO","FALTAS_ENF","FALTAS_MED","FALTAS_ODO"
"Centro","CS JOÃO PAULO",1,2018,5,209,393,25,1,12,0
"Centro","CS JOÃO PAULO",1,2018,6,177,419,70,1,33,7
"Centro","CS JOÃO PAULO",1,2018,7,184,455,34,2,30,0
"Centro","CS MONTE SERRAT",0,2018,4,258,165,41,9,15,12
"Centro","CS MONTE SERRAT",0,2018,5,201,275,32,11,13,20
"Centro","CS MONTE SERRAT",0,2018,6,286,335,36,10,25,16
"Centro","CS MONTE SERRAT",0,2018,7,218,442,42,16,33,18
"Centro","CS MONTE SERRAT",1,2018,4,100,140,25,6,11,4
"Centro","CS MONTE SERRAT",1,2018,5,143,104,20,6,2,9
"Centro","CS MONTE SERRAT",1,2018,6,91,293,28,4,13,8
"Centro","CS MONTE SERRAT",1,2018,7,41,277,36,7,6,11
"Centro","CS MONTE SERRAT",2,2018,4,277,224,45,16,29,16
"Centro","CS MONTE SERRAT",2,2018,5,207,393,44,19,15,11
"Centro","CS MONTE SERRAT",2,2018,6,263,516,47,12,44,23
"Centro","CS MONTE SERRAT",2,2018,7,196,532,59,13,30,18
"Centro","CS PANTANAL",0,2018,4,29,187,5,1,1,0
"Centro","CS PANTANAL",0,2018,5,136,261,24,15,6,4
"Centro","CS PANTANAL",0,2018,6,146,376,45,12,17,5
"Centro","CS PANTANAL",0,2018,7,154,401,53,7,15,2
"Centro","CS PANTANAL",1,2018,4,16,153,3,1,3,0
"Centro","CS PANTANAL",1,2018,5,180,253,13,4,15,5
"Centro","CS PANTANAL",1,2018,6,110,314,64,14,31,10
"Centro","CS PANTANAL",1,2018,7,74,251,33,7,45,4
"Centro","CS PRAINHA",0,2018,4,75,178,25,5,19,1
"Centro","CS PRAINHA",0,2018,5,150,294,48,8,17,2
"Centro","CS PRAINHA",0,2018,6,196,441,71,13,31,11
"Centro","CS PRAINHA",0,2018,7,168,386,74,11,42,13
"Centro","CS PRAINHA",1,2018,4,66,120,23,3,3,1
"Centro","CS PRAINHA",1,2018,5,107,203,45,7,5,3
"Centro","CS PRAINHA",1,2018,6,124,210,52,5,12,8
"Centro","CS PRAINHA",1,2018,7,121,314,64,11,20,14
"Centro","CS PRAINHA",2,2018,4,127,83,46,8,2,5
"Centro","CS PRAINHA",2,2018,5,110,173,59,7,6,7
"Centro","CS PRAINHA",2,2018,6,130,239,98,9,17,13
"Centro","CS PRAINHA",2,2018,7,146,281,83,7,19,22
"Centro","CS SACO DOS LIMÕES",0,2018,4,50,197,5,0,7,0
"Centro","CS SACO DOS LIMÕES",0,2018,5,53,338,5,1,7,0
"Centro","CS SACO DOS LIMÕES",0,2018,6,90,472,20,7,22,1
"Centro","CS SACO DOS LIMÕES",0,2018,7,95,443,13,9,12,1
"Centro","CS SACO DOS LIMÕES",1,2018,4,131,155,13,14,10,2
"Centro","CS SACO DOS LIMÕES",1,2018,5,125,308,10,6,2,0
"Centro","CS SACO DOS LIMÕES",1,2018,6,162,328,14,6,2,1
"Centro","CS SACO DOS LIMÕES",1,2018,7,162,359,13,2,8,4
"Centro","CS SACO DOS LIMÕES",2,2018,4,276,183,18,10,6,0
"Centro","CS SACO DOS LIMÕES",2,2018,5,331,163,18,6,1,0
"Centro","CS SACO DOS LIMÕES",2,2018,6,376,458,29,3,15,6
"Centro","CS SACO DOS LIMÕES",2,2018,7,304,414,31,16,17,3
"Centro","CS SACO DOS LIMÕES",3,2018,4,24,90,7,0,3,0
"Centro","CS SACO DOS LIMÕES",3,2018,5,27,130,2,2,6,0
"Centro","CS SACO DOS LIMÕES",3,2018,6,46,151,1,2,6,1
"Centro","CS SACO DOS LIMÕES",3,2018,7,51,137,0,1,7,0
"Centro","CS SACO DOS LIMÕES",4,2018,4,9,49,2,0,2,0
"Centro","CS SACO DOS LIMÕES",4,2018,5,9,73,1,0,1,0
"Centro","CS SACO DOS LIMÕES",4,2018,6,20,79,3,1,0,1
"Centro","CS SACO DOS LIMÕES",4,2018,7,8,91,1,0,3,0
"Centro","CS SACO DOS LIMÕES",312,2018,4,3,2,0,0,0,0
"Centro","CS SACO DOS LIMÕES",312,2018,5,2,0,0,1,0,0
"Centro","CS SACO DOS LIMÕES",312,2018,6,3,2,0,0,0,0
"Centro","CS SACO DOS LIMÕES",312,2018,7,2,1,0,0,0,0
"Centro","CS TRINDADE",0,2018,4,83,137,24,7,8,10
"Centro","CS TRINDADE",0,2018,5,84,288,37,3,1,22
"Centro","CS TRINDADE",0,2018,6,157,338,62,5,11,7
"Centro","CS TRINDADE",0,2018,7,67,309,68,0,10,11
"Centro","CS TRINDADE",1,2018,4,133,218,37,3,10,23
"Centro","CS TRINDADE",1,2018,5,168,329,51,3,9,14
"Centro","CS TRINDADE",1,2018,6,194,420,53,3,6,17
"Centro","CS TRINDADE",1,2018,7,371,203,66,0,2,16
"Centro","CS TRINDADE",2,2018,4,52,214,28,1,21,3
"Centro","CS TRINDADE",2,2018,5,138,359,46,2,20,1
"Centro","CS TRINDADE",2,2018,6,212,386,47,8,3,10
"Centro","CS TRINDADE",2,2018,7,156,403,49,0,17,4
"Centro","CS TRINDADE",3,2018,4,64,194,21,2,9,5
"Centro","CS TRINDADE",3,2018,5,73,306,37,2,15,2
"Centro","CS TRINDADE",3,2018,6,119,335,31,1,17,6
"Centro","CS TRINDADE",3,2018,7,102,341,50,1,15,9
"Centro","CS TRINDADE",4,2018,4,80,139,36,4,3,20
"Centro","CS TRINDADE",4,2018,5,117,204,33,2,1,10
"Centro","CS TRINDADE",4,2018,6,141,278,46,0,8,11
"Centro","CS TRINDADE",4,2018,7,164,288,47,0,2,15
"Centro","CS TRINDADE",5,2018,4,7,15,2,0,3,1
"Centro","CS TRINDADE",5,2018,5,8,45,12,0,0,1
"Centro","CS TRINDADE",5,2018,6,24,57,17,1,1,0
"Centro","CS TRINDADE",5,2018,7,6,40,26,0,1,4
"Continente","CS ABRAÃO",0,2018,4,130,207,34,10,7,9
"Continente","CS ABRAÃO",0,2018,5,48,288,32,0,16,5
"Continente","CS ABRAÃO",0,2018,6,186,361,63,9,31,10
"Continente","CS ABRAÃO",0,2018,7,196,384,37,7,27,9
"Continente","CS ABRAÃO",1,2018,4,95,178,10,10,12,0
"Continente","CS ABRAÃO",1,2018,5,31,233,46,2,19,3
"Continente","CS ABRAÃO",1,2018,6,98,286,31,3,17,3
"Continente","CS ABRAÃO",1,2018,7,144,304,46,4,22,8
"Continente","CS ABRAÃO",2,2018,4,79,57,7,7,4,4
"Continente","CS ABRAÃO",2,2018,5,37,170,23,1,11,7
"Continente","CS ABRAÃO",2,2018,6,92,232,27,1,17,8
"Continente","CS ABRAÃO",2,2018,7,87,230,44,4,20,4
"Continente","CS BALNEÁRIO",0,2018,4,111,161,19,4,5,1
"Continente","CS BALNEÁRIO",0,2018,5,142,275,36,4,4,2
"Continente","CS BALNEÁRIO",0,2018,6,154,231,74,10,4,3
"Continente","CS BALNEÁRIO",0,2018,7,97,201,36,6,4,7
"Continente","CS BALNEÁRIO",1,2018,4,175,304,13,6,17,0
"Continente","CS BALNEÁRIO",1,2018,5,190,362,26,13,8,1
"Continente","CS BALNEÁRIO",1,2018,6,164,325,58,13,6,6
"Continente","CS BALNEÁRIO",1,2018,7,92,335,81,9,7,6
"Continente","CS CAPOEIRAS",0,2018,4,116,32,87,9,1,15
"Continente","CS CAPOEIRAS",0,2018,5,315,302,97,3,14,20
"Continente","CS CAPOEIRAS",0,2018,6,226,254,68,6,10,17
"Continente","CS CAPOEIRAS",0,2018,7,185,226,97,10,2,16
"Continente","CS CAPOEIRAS",1,2018,4,62,52,64,7,1,6
"Continente","CS CAPOEIRAS",1,2018,5,116,191,78,5,2,4
"Continente","CS CAPOEIRAS",1,2018,6,182,185,79,8,5,11
"Continente","CS CAPOEIRAS",1,2018,7,128,152,51,7,4,7
"Continente","CS CAPOEIRAS",2,2018,4,29,22,58,5,0,11
"Continente","CS CAPOEIRAS",2,2018,5,75,326,84,3,6,13
"Continente","CS CAPOEIRAS",2,2018,6,81,225,46,6,2,14
"Continente","CS CAPOEIRAS",2,2018,7,70,126,60,2,3,9
"Continente","CS COLONINHA",0,2018,4,72,166,31,4,7,2
"Continente","CS COLONINHA",0,2018,5,88,291,27,4,6,5
"Continente","CS COLONINHA",0,2018,6,174,234,86,9,1,16
"Continente","CS COLONINHA",0,2018,7,93,203,105,6,4,22
"Continente","CS COLONINHA",1,2018,4,70,188,10,7,6,0
"Continente","CS COLONINHA",1,2018,5,82,333,38,4,4,6
"Continente","CS COLONINHA",1,2018,6,138,250,93,13,3,17
"Continente","CS COLONINHA",1,2018,7,66,323,80,3,4,22
"Continente","CS COLONINHA",2,2018,4,49,250,41,2,8,10
"Continente","CS COLONINHA",2,2018,5,68,531,10,3,12,3
"Continente","CS COLONINHA",2,2018,6,30,572,105,5,7,24
"Continente","CS COLONINHA",2,2018,7,32,645,106,1,9,28
"Continente","CS COQUEIROS",0,2018,4,60,209,31,5,10,11
"Continente","CS COQUEIROS",0,2018,5,129,236,58,4,4,10
"Continente","CS COQUEIROS",0,2018,6,167,225,80,12,5,10
"Continente","CS COQUEIROS",0,2018,7,140,278,60,4,6,23
"Continente","CS COQUEIROS",1,2018,4,53,300,42,4,17,10
"Continente","CS COQUEIROS",1,2018,5,78,295,76,2,2,10
"Continente","CS COQUEIROS",1,2018,6,149,390,17,13,17,1
"Continente","CS COQUEIROS",1,2018,7,216,405,154,5,2,23
"Continente","CS COQUEIROS",2,2018,4,63,283,88,5,12,29
"Continente","CS COQUEIROS",2,2018,5,39,314,59,0,10,11
"Continente","CS COQUEIROS",2,2018,6,147,409,104,8,29,16
"Continente","CS COQUEIROS",2,2018,7,185,500,110,5,9,15
"Continente","CS ESTREITO",0,2018,4,63,158,32,0,1,2
"Continente","CS ESTREITO",0,2018,5,106,359,39,1,5,5
"Continente","CS ESTREITO",0,2018,6,187,230,78,2,0,12
"Continente","CS ESTREITO",0,2018,7,196,326,30,3,7,4
"Continente","CS ESTREITO",1,2018,4,66,197,8,2,2,1
"Continente","CS ESTREITO",1,2018,5,100,360,30,2,7,1
"Continente","CS ESTREITO",1,2018,6,144,358,30,6,5,6
"Continente","CS ESTREITO",1,2018,7,184,321,33,8,7,5
"Continente","CS ESTREITO",2,2018,4,100,96,21,4,0,6
"Continente","CS ESTREITO",2,2018,5,39,160,43,0,1,4
"Continente","CS ESTREITO",2,2018,6,195,205,54,9,2,13
"Continente","CS ESTREITO",2,2018,7,217,189,59,6,5,9
"Continente","CS ESTREITO",3,2018,4,73,154,10,7,6,1
"Continente","CS ESTREITO",3,2018,5,138,299,30,8,5,3
"Continente","CS ESTREITO",3,2018,6,168,348,29,12,10,1
"Continente","CS ESTREITO",3,2018,7,146,273,96,4,13,9
"Continente","CS JARDIM ATLÂNTICO",0,2018,4,65,113,34,9,1,6
"Continente","CS JARDIM ATLÂNTICO",0,2018,5,105,81,44,10,1,7
"Continente","CS JARDIM ATLÂNTICO",0,2018,6,73,90,84,8,1,9
"Continente","CS JARDIM ATLÂNTICO",0,2018,7,171,137,78,23,2,10
"Continente","CS JARDIM ATLÂNTICO",1,2018,4,56,106,25,4,8,7
"Continente","CS JARDIM ATLÂNTICO",1,2018,5,86,66,44,12,6,6
"Continente","CS JARDIM ATLÂNTICO",1,2018,6,53,81,63,8,6,10
"Continente","CS JARDIM ATLÂNTICO",1,2018,7,182,99,66,25,2,7
"Continente","CS MONTE CRISTO",0,2018,4,250,365,74,6,6,6
"Continente","CS MONTE CRISTO",0,2018,5,314,487,52,13,13,3
"Continente","CS MONTE CRISTO",0,2018,6,320,556,65,14,8,7
"Continente","CS MONTE CRISTO",0,2018,7,320,489,70,0,3,5
"Continente","CS MONTE CRISTO",1,2018,4,149,318,60,3,11,7
"Continente","CS MONTE CRISTO",1,2018,5,342,410,55,11,15,2
"Continente","CS MONTE CRISTO",1,2018,6,322,497,115,15,23,9
"Continente","CS MONTE CRISTO",1,2018,7,140,536,110,7,24,10
"Continente","CS MONTE CRISTO",2,2018,4,107,192,32,2,1,6
"Continente","CS MONTE CRISTO",2,2018,5,169,234,23,1,0,0
"Continente","CS MONTE CRISTO",2,2018,6,100,256,33,4,2,2
"Continente","CS MONTE CRISTO",2,2018,7,124,251,42,0,2,0
"Continente","CS MONTE CRISTO",3,2018,4,136,282,50,1,0,4
"Continente","CS MONTE CRISTO",3,2018,5,158,415,58,0,0,0
"Continente","CS MONTE CRISTO",3,2018,6,139,456,50,0,0,2
"Continente","CS MONTE CRISTO",3,2018,7,95,419,58,1,5,2
"Continente","CS MONTE CRISTO",4,2018,4,263,357,63,6,15,2
"Continente","CS MONTE CRISTO",4,2018,5,329,433,71,11,15,2
"Continente","CS MONTE CRISTO",4,2018,6,297,462,77,10,25,7
"Continente","CS MONTE CRISTO",4,2018,7,285,471,99,13,8,4
"Continente","CS MONTE CRISTO",5,2018,4,109,257,52,0,2,2
"Continente","CS MONTE CRISTO",5,2018,5,177,319,42,3,1,0
"Continente","CS MONTE CRISTO",5,2018,6,110,338,37,0,3,1
"Continente","CS MONTE CRISTO",5,2018,7,119,389,49,3,2,3
"Continente","CS MONTE CRISTO",6,2018,4,44,83,18,2,0,0
"Continente","CS MONTE CRISTO",6,2018,5,86,116,15,1,2,0
"Continente","CS MONTE CRISTO",6,2018,6,33,138,25,0,1,1
"Continente","CS MONTE CRISTO",6,2018,7,60,119,24,3,4,1
"Continente","CS NOVO CONTINENTE",0,2018,4,158,268,10,1,6,0
"Continente","CS NOVO CONTINENTE",0,2018,5,245,435,52,5,0,3
"Continente","CS NOVO CONTINENTE",0,2018,6,366,484,76,3,2,6
"Continente","CS NOVO CONTINENTE",0,2018,7,328,422,98,6,5,4
"Continente","CS NOVO CONTINENTE",1,2018,4,81,142,8,8,8,1
"Continente","CS NOVO CONTINENTE",1,2018,5,119,263,37,10,4,3
"Continente","CS NOVO CONTINENTE",1,2018,6,122,337,47,13,9,4
"Continente","CS NOVO CONTINENTE",1,2018,7,226,203,50,14,0,2
"Continente","CS NOVO CONTINENTE",2,2018,4,51,225,9,2,15,2
"Continente","CS NOVO CONTINENTE",2,2018,5,72,351,38,1,6,2
"Continente","CS NOVO CONTINENTE",2,2018,6,100,427,74,1,18,7
"Continente","CS NOVO CONTINENTE",2,2018,7,136,396,79,8,4,6
"Continente","CS SAPE",0,2018,4,87,202,33,15,4,3
"Continente","CS SAPE",0,2018,5,169,97,54,14,2,4
"Continente","CS SAPE",0,2018,6,218,322,61,35,10,4
"Continente","CS SAPE",0,2018,7,160,314,79,11,5,7
"Continente","CS SAPE",1,2018,4,116,148,22,7,0,1
"Continente","CS SAPE",1,2018,5,165,180,33,10,11,2
"Continente","CS SAPE",1,2018,6,225,350,36,16,19,0
"Continente","CS SAPE",1,2018,7,277,337,61,10,12,2
"Continente","CS VILA APARECIDA",0,2018,4,78,180,62,3,6,8
"Continente","CS VILA APARECIDA",0,2018,5,72,205,68,4,6,5
"Continente","CS VILA APARECIDA",0,2018,6,89,186,24,3,8,0
"Continente","CS VILA APARECIDA",0,2018,7,168,201,55,4,8,5
"Continente","CS VILA APARECIDA",1,2018,4,51,78,59,4,4,5
"Continente","CS VILA APARECIDA",1,2018,5,51,123,75,2,2,7
"Continente","CS VILA APARECIDA",1,2018,6,56,107,24,2,5,1
"Continente","CS VILA APARECIDA",1,2018,7,103,138,76,6,8,5
"Norte","CS BARRA DA LAGOA",0,2018,4,212,114,51,1,3,9
"Norte","CS BARRA DA LAGOA",0,2018,5,336,238,6,2,24,0
"Norte","CS BARRA DA LAGOA",0,2018,6,217,275,112,4,40,9
"Norte","CS BARRA DA LAGOA",0,2018,7,115,345,117,0,54,9
"Norte","CS BARRA DA LAGOA",1,2018,4,289,156,54,3,5,5
"Norte","CS BARRA DA LAGOA",1,2018,5,422,271,16,5,24,0
"Norte","CS BARRA DA LAGOA",1,2018,6,256,254,129,0,44,6
"Norte","CS BARRA DA LAGOA",1,2018,7,247,279,73,2,56,4
"Norte","CS BARRA DA LAGOA",2,2018,4,64,26,16,1,3,0
"Norte","CS BARRA DA LAGOA",2,2018,5,88,57,1,1,9,0
"Norte","CS BARRA DA LAGOA",2,2018,6,46,71,35,2,13,0
"Norte","CS BARRA DA LAGOA",2,2018,7,23,78,29,0,15,1
"Norte","CS CACHOEIRA BOM JESUS",0,2018,4,152,117,33,8,4,8
"Norte","CS CACHOEIRA BOM JESUS",0,2018,5,188,314,58,9,6,16
"Norte","CS CACHOEIRA BOM JESUS",0,2018,6,372,440,94,15,11,10
"Norte","CS CACHOEIRA BOM JESUS",0,2018,7,270,314,82,23,9,19
"Norte","CS CACHOEIRA BOM JESUS",1,2018,4,163,89,27,21,1,6
"Norte","CS CACHOEIRA BOM JESUS",1,2018,5,141,199,57,13,4,7
"Norte","CS CACHOEIRA BOM JESUS",1,2018,6,273,210,71,13,2,15
"Norte","CS CACHOEIRA BOM JESUS",1,2018,7,208,194,53,12,4,18
"Norte","CS CANASVIEIRAS",0,2018,4,97,124,32,25,3,8
"Norte","CS CANASVIEIRAS",0,2018,5,130,223,33,12,4,8
"Norte","CS CANASVIEIRAS",0,2018,6,170,291,39,14,5,8
"Norte","CS CANASVIEIRAS",0,2018,7,153,302,43,16,15,2
"Norte","CS CANASVIEIRAS",1,2018,4,49,186,40,3,14,6
"Norte","CS CANASVIEIRAS",1,2018,5,178,297,43,7,7,7
"Norte","CS CANASVIEIRAS",1,2018,6,200,404,39,13,13,6
"Norte","CS CANASVIEIRAS",1,2018,7,230,405,77,15,9,7
"Norte","CS CANASVIEIRAS",2,2018,4,38,200,17,1,14,5
"Norte","CS CANASVIEIRAS",2,2018,5,233,176,26,20,5,1
"Norte","CS CANASVIEIRAS",2,2018,6,324,204,36,26,4,6
"Norte","CS CANASVIEIRAS",2,2018,7,263,207,35,32,4,10
"Norte","CS CANASVIEIRAS",3,2018,4,28,211,27,0,4,4
"Norte","CS CANASVIEIRAS",3,2018,5,61,222,25,7,3,4
"Norte","CS CANASVIEIRAS",3,2018,6,100,295,47,13,1,2
"Norte","CS CANASVIEIRAS",3,2018,7,85,306,48,14,3,10
"Norte","CS CANASVIEIRAS",4,2018,4,40,330,53,1,27,8
"Norte","CS CANASVIEIRAS",4,2018,5,106,318,64,6,19,8
"Norte","CS CANASVIEIRAS",4,2018,6,197,287,90,21,12,6
"Norte","CS CANASVIEIRAS",4,2018,7,171,325,92,18,15,17
"Norte","CS INGLESES",1,2018,4,163,212,57,18,7,9
"Norte","CS INGLESES",1,2018,5,223,363,54,9,12,10
"Norte","CS INGLESES",1,2018,6,202,339,43,23,13,2
"Norte","CS INGLESES",1,2018,7,194,329,33,39,11,6
"Norte","CS INGLESES",2,2018,4,248,168,81,14,5,10
"Norte","CS INGLESES",2,2018,5,371,237,84,13,7,7
"Norte","CS INGLESES",2,2018,6,298,287,71,28,11,12
"Norte","CS INGLESES",2,2018,7,355,308,76,32,14,6
"Norte","CS INGLESES",3,2018,4,220,119,70,11,5,13
"Norte","CS INGLESES",3,2018,5,270,219,64,10,10,25
"Norte","CS INGLESES",3,2018,6,258,239,87,23,14,16
"Norte","CS INGLESES",3,2018,7,323,278,77,25,16,12
"Norte","CS INGLESES",4,2018,4,184,87,53,3,3,5
"Norte","CS INGLESES",4,2018,5,158,266,82,5,22,11
"Norte","CS INGLESES",4,2018,6,77,276,69,6,24,15
"Norte","CS INGLESES",4,2018,7,143,348,42,11,21,10
"Norte","CS INGLESES",5,2018,4,175,337,63,6,45,23
"Norte","CS INGLESES",5,2018,5,280,467,89,10,24,13
"Norte","CS INGLESES",5,2018,6,226,446,74,28,24,15
"Norte","CS INGLESES",5,2018,7,284,369,78,31,21,12
"Norte","CS INGLESES",6,2018,4,243,243,73,7,9,16
"Norte","CS INGLESES",6,2018,5,304,495,109,22,21,22
"Norte","CS INGLESES",6,2018,6,290,234,92,29,8,16
"Norte","CS INGLESES",6,2018,7,219,546,100,12,23,13
"Norte","CS INGLESES",7,2018,4,67,69,19,4,4,2
"Norte","CS INGLESES",7,2018,5,97,151,24,6,5,4
"Norte","CS INGLESES",7,2018,6,89,140,18,10,5,3
"Norte","CS INGLESES",7,2018,7,96,159,26,14,8,2
"Norte","CS INGLESES",8,2018,4,58,78,11,6,5,1
"Norte","CS INGLESES",8,2018,5,74,93,23,5,4,0
"Norte","CS INGLESES",8,2018,6,66,102,22,11,10,6
"Norte","CS INGLESES",8,2018,7,50,93,22,8,6,1
"Norte","CS JURERE",0,2018,4,255,395,74,39,25,10
"Norte","CS JURERE",0,2018,5,256,304,113,25,16,25
"Norte","CS JURERE",0,2018,6,162,333,103,38,10,26
"Norte","CS JURERE",0,2018,7,199,293,49,8,19,5
"Norte","CS PONTA DAS CANAS",0,2018,4,67,237,13,5,24,3
"Norte","CS PONTA DAS CANAS",0,2018,5,104,194,18,8,3,4
"Norte","CS PONTA DAS CANAS",0,2018,6,81,277,11,21,15,1
"Norte","CS PONTA DAS CANAS",0,2018,7,106,380,36,6,15,6
"Norte","CS PONTA DAS CANAS",1,2018,4,22,136,2,4,11,1
"Norte","CS PONTA DAS CANAS",1,2018,5,37,128,5,4,9,0
"Norte","CS PONTA DAS CANAS",1,2018,6,33,152,4,6,12,1
"Norte","CS PONTA DAS CANAS",1,2018,7,50,181,27,5,3,4
"Norte","CS RATONES",0,2018,4,135,185,64,16,3,8
"Norte","CS RATONES",0,2018,5,197,209,56,0,8,8
"Norte","CS RATONES",0,2018,6,110,319,23,5,8,1
"Norte","CS RATONES",0,2018,7,112,111,19,4,6,2
"Norte","CS RATONES",1,2018,4,58,94,19,9,0,4
"Norte","CS RATONES",1,2018,5,75,109,21,0,6,7
"Norte","CS RATONES",1,2018,6,36,138,5,6,10,1
"Norte","CS RATONES",1,2018,7,44,62,17,10,10,3
"Norte","CS RIO VERMELHO",0,2018,4,289,435,96,5,3,4
"Norte","CS RIO VERMELHO",0,2018,5,364,502,70,11,4,15
"Norte","CS RIO VERMELHO",0,2018,6,357,461,81,21,5,11
"Norte","CS RIO VERMELHO",0,2018,7,350,377,84,32,8,6
"Norte","CS RIO VERMELHO",1,2018,4,159,472,80,6,12,7
"Norte","CS RIO VERMELHO",1,2018,5,262,550,69,9,11,7
"Norte","CS RIO VERMELHO",1,2018,6,206,532,82,12,20,7
"Norte","CS RIO VERMELHO",1,2018,7,195,501,90,15,8,5
"Norte","CS RIO VERMELHO",2,2018,4,107,280,61,2,8,8
"Norte","CS RIO VERMELHO",2,2018,5,122,306,50,3,17,10
"Norte","CS RIO VERMELHO",2,2018,6,130,326,54,1,13,5
"Norte","CS RIO VERMELHO",2,2018,7,132,295,68,1,6,8
"Norte","CS RIO VERMELHO",3,2018,4,115,323,64,0,4,3
"Norte","CS RIO VERMELHO",3,2018,5,155,367,60,8,7,4
"Norte","CS RIO VERMELHO",3,2018,6,167,455,44,20,5,6
"Norte","CS RIO VERMELHO",3,2018,7,134,388,58,32,10,4
"Norte","CS RIO VERMELHO",4,2018,4,116,215,37,2,5,7
"Norte","CS RIO VERMELHO",4,2018,5,160,256,28,1,5,4
"Norte","CS RIO VERMELHO",4,2018,6,148,279,49,4,10,5
"Norte","CS RIO VERMELHO",4,2018,7,154,242,58,4,10,4
"Norte","CS SACO GRANDE",0,2018,4,87,380,58,1,2,7
"Norte","CS SACO GRANDE",0,2018,5,201,471,43,1,2,3
"Norte","CS SACO GRANDE",0,2018,6,230,621,123,0,1,14
"Norte","CS SACO GRANDE",0,2018,7,238,541,110,0,7,10
"Norte","CS SACO GRANDE",1,2018,4,118,400,31,1,4,2
