"DISTRITO","UNIDADE","TRIMESTRE","TIPO","ESPECIALIDADE","VALOR"
"Norte","CS VARGEM PEQUENA","2018 Q2","RETIRADA_CERUME","Médico",0
"Continente","CS VILA APARECIDA","2018 Q2","RETIRADA_CERUME","Médico",0
"Continente","CS ABRAÃO","2018 Q2","SUTURA","Médico",0
"Centro","CS AGRONÔMICA","2018 Q2","SUTURA","Médico",3
"Sul","CS ALTO RIBEIRÃO","2018 Q2","SUTURA","Médico",0
"Sul","CS ARMAÇÃO","2018 Q2","SUTURA","Médico",0
"Continente","CS BALNEÁRIO","2018 Q2","SUTURA","Médico",0
"Norte","CS BARRA DA LAGOA","2018 Q2","SUTURA","Médico",0
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","SUTURA","Médico",0
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","SUTURA","Médico",0
"Sul","CS CAMPECHE","2018 Q2","SUTURA","Médico",5
"Norte","CS CANASVIEIRAS","2018 Q2","SUTURA","Médico",2
"Sul","CS CANTO DA LAGOA","2018 Q2","SUTURA","Médico",1
"Continente","CS CAPOEIRAS","2018 Q2","SUTURA","Médico",0
"Sul","CS CARIANOS","2018 Q2","SUTURA","Médico",4
"Centro","CS CENTRO","2018 Q2","SUTURA","Médico",2
"Continente","CS COLONINHA","2018 Q2","SUTURA","Médico",8
"Continente","CS COQUEIROS","2018 Q2","SUTURA","Médico",2
"Centro","CS CÓRREGO GRANDE","2018 Q2","SUTURA","Médico",2
"Sul","CS COSTA DA LAGOA","2018 Q2","SUTURA","Médico",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","SUTURA","Médico",2
"Continente","CS ESTREITO","2018 Q2","SUTURA","Médico",2
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","SUTURA","Médico",0
"Norte","CS INGLESES","2018 Q2","SUTURA","Médico",2
"Centro","CS ITACORUBI","2018 Q2","SUTURA","Médico",0
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","SUTURA","Médico",1
"Centro","CS JOÃO PAULO","2018 Q2","SUTURA","Médico",5
"Norte","CS JURERE","2018 Q2","SUTURA","Médico",0
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","SUTURA","Médico",1
"Continente","CS MONTE CRISTO","2018 Q2","SUTURA","Médico",6
"Centro","CS MONTE SERRAT","2018 Q2","SUTURA","Médico",1
"Sul","CS MORRO DAS PEDRAS","2018 Q2","SUTURA","Médico",0
"Continente","CS NOVO CONTINENTE","2018 Q2","SUTURA","Médico",0
"Centro","CS PANTANAL","2018 Q2","SUTURA","Médico",2
"Sul","CS PANTANO DO SUL","2018 Q2","SUTURA","Médico",0
"Norte","CS PONTA DAS CANAS","2018 Q2","SUTURA","Médico",0
"Centro","CS PRAINHA","2018 Q2","SUTURA","Médico",1
"Norte","CS RATONES","2018 Q2","SUTURA","Médico",0
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","SUTURA","Médico",1
"Sul","CS RIO TAVARES","2018 Q2","SUTURA","Médico",0
"Norte","CS RIO VERMELHO","2018 Q2","SUTURA","Médico",1
"Centro","CS SACO DOS LIMÕES","2018 Q2","SUTURA","Médico",0
"Centro","CS SACO GRANDE","2018 Q2","SUTURA","Médico",9
"Norte","CS SANTINHO","2018 Q2","SUTURA","Médico",1
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","SUTURA","Médico",3
"Continente","CS SAPE","2018 Q2","SUTURA","Médico",0
"Sul","CS TAPERA","2018 Q2","SUTURA","Médico",2
"Centro","CS TRINDADE","2018 Q2","SUTURA","Médico",3
"Norte","CS VARGEM GRANDE","2018 Q2","SUTURA","Médico",0
"Norte","CS VARGEM PEQUENA","2018 Q2","SUTURA","Médico",0
"Continente","CS VILA APARECIDA","2018 Q2","SUTURA","Médico",0
"Continente","CS ABRAÃO","2018 Q2","EXO_DESCIDUO","Odontólogo",1
"Centro","CS AGRONÔMICA","2018 Q2","EXO_DESCIDUO","Odontólogo",20
"Sul","CS ALTO RIBEIRÃO","2018 Q2","EXO_DESCIDUO","Odontólogo",1
"Sul","CS ARMAÇÃO","2018 Q2","EXO_DESCIDUO","Odontólogo",5
"Continente","CS BALNEÁRIO","2018 Q2","EXO_DESCIDUO","Odontólogo",2
"Norte","CS BARRA DA LAGOA","2018 Q2","EXO_DESCIDUO","Odontólogo",14
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","EXO_DESCIDUO","Odontólogo",11
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","EXO_DESCIDUO","Odontólogo",0
"Sul","CS CAMPECHE","2018 Q2","EXO_DESCIDUO","Odontólogo",1
"Norte","CS CANASVIEIRAS","2018 Q2","EXO_DESCIDUO","Odontólogo",15
"Sul","CS CANTO DA LAGOA","2018 Q2","EXO_DESCIDUO","Odontólogo",0
"Continente","CS CAPOEIRAS","2018 Q2","EXO_DESCIDUO","Odontólogo",5
"Sul","CS CARIANOS","2018 Q2","EXO_DESCIDUO","Odontólogo",15
"Centro","CS CENTRO","2018 Q2","EXO_DESCIDUO","Odontólogo",1
"Continente","CS COLONINHA","2018 Q2","EXO_DESCIDUO","Odontólogo",2
"Continente","CS COQUEIROS","2018 Q2","EXO_DESCIDUO","Odontólogo",8
"Centro","CS CÓRREGO GRANDE","2018 Q2","EXO_DESCIDUO","Odontólogo",2
"Sul","CS COSTA DA LAGOA","2018 Q2","EXO_DESCIDUO","Odontólogo",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","EXO_DESCIDUO","Odontólogo",8
"Continente","CS ESTREITO","2018 Q2","EXO_DESCIDUO","Odontólogo",7
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","EXO_DESCIDUO","Odontólogo",2
"Norte","CS INGLESES","2018 Q2","EXO_DESCIDUO","Odontólogo",12
"Centro","CS ITACORUBI","2018 Q2","EXO_DESCIDUO","Odontólogo",4
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","EXO_DESCIDUO","Odontólogo",9
"Centro","CS JOÃO PAULO","2018 Q2","EXO_DESCIDUO","Odontólogo",6
"Norte","CS JURERE","2018 Q2","EXO_DESCIDUO","Odontólogo",3
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","EXO_DESCIDUO","Odontólogo",3
"Continente","CS MONTE CRISTO","2018 Q2","EXO_DESCIDUO","Odontólogo",14
"Centro","CS MONTE SERRAT","2018 Q2","EXO_DESCIDUO","Odontólogo",11
"Sul","CS MORRO DAS PEDRAS","2018 Q2","EXO_DESCIDUO","Odontólogo",8
"Continente","CS NOVO CONTINENTE","2018 Q2","EXO_DESCIDUO","Odontólogo",5
"Centro","CS PANTANAL","2018 Q2","EXO_DESCIDUO","Odontólogo",0
"Sul","CS PANTANO DO SUL","2018 Q2","EXO_DESCIDUO","Odontólogo",3
"Norte","CS PONTA DAS CANAS","2018 Q2","EXO_DESCIDUO","Odontólogo",1
"Centro","CS PRAINHA","2018 Q2","EXO_DESCIDUO","Odontólogo",9
"Norte","CS RATONES","2018 Q2","EXO_DESCIDUO","Odontólogo",2
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","EXO_DESCIDUO","Odontólogo",2
"Sul","CS RIO TAVARES","2018 Q2","EXO_DESCIDUO","Odontólogo",6
"Norte","CS RIO VERMELHO","2018 Q2","EXO_DESCIDUO","Odontólogo",12
"Centro","CS SACO DOS LIMÕES","2018 Q2","EXO_DESCIDUO","Odontólogo",4
"Centro","CS SACO GRANDE","2018 Q2","EXO_DESCIDUO","Odontólogo",23
"Norte","CS SANTINHO","2018 Q2","EXO_DESCIDUO","Odontólogo",7
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","EXO_DESCIDUO","Odontólogo",10
"Continente","CS SAPE","2018 Q2","EXO_DESCIDUO","Odontólogo",5
"Sul","CS TAPERA","2018 Q2","EXO_DESCIDUO","Odontólogo",11
"Centro","CS TRINDADE","2018 Q2","EXO_DESCIDUO","Odontólogo",3
"Norte","CS VARGEM GRANDE","2018 Q2","EXO_DESCIDUO","Odontólogo",1
"Norte","CS VARGEM PEQUENA","2018 Q2","EXO_DESCIDUO","Odontólogo",2
"Continente","CS VILA APARECIDA","2018 Q2","EXO_DESCIDUO","Odontólogo",0
"Continente","CS ABRAÃO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS AGRONÔMICA","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS ALTO RIBEIRÃO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS ARMAÇÃO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Continente","CS BALNEÁRIO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS BARRA DA LAGOA","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS CACHOEIRA BOM JESUS","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS CAMPECHE","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS CANASVIEIRAS","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS CANTO DA LAGOA","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Continente","CS CAPOEIRAS","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS CARIANOS","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS CENTRO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Continente","CS COLONINHA","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Continente","CS COQUEIROS","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS CÓRREGO GRANDE","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS COSTA DA LAGOA","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Continente","CS ESTREITO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS INGLESES","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS ITACORUBI","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Continente","CS JARDIM ATLÂNTICO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS JOÃO PAULO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS JURERE","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Continente","CS MONTE CRISTO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS MONTE SERRAT","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS MORRO DAS PEDRAS","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Continente","CS NOVO CONTINENTE","2018 Q2","BIOPSIA_BOCA","Odontólogo",1
"Centro","CS PANTANAL","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS PANTANO DO SUL","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS PONTA DAS CANAS","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS PRAINHA","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS RATONES","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS RIBEIRÃO DA ILHA","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Sul","CS RIO TAVARES","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS RIO VERMELHO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS SACO DOS LIMÕES","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Centro","CS SACO GRANDE","2018 Q2","BIOPSIA_BOCA","Odontólogo",1
"Norte","CS SANTINHO","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
"Norte","CS SANTO ANTONIO LISBOA","2018 Q2","BIOPSIA_BOCA","Odontólogo",0
