"DISTRITO","UNIDADE","TRIMESTRE","PROCEDIMENTO","VALOR"
"Continente","CS NOVO CONTINENTE","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS PANTANAL","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS PANTANO DO SUL","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",10
"Norte","CS PONTA DAS CANAS","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Centro","CS PRAINHA","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS RATONES","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS RIBEIRÃO DA ILHA","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Sul","CS RIO TAVARES","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS RIO VERMELHO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS SACO GRANDE","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Norte","CS SANTINHO","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",16
"Continente","CS SAPE","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Sul","CS TAPERA","2016 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",14
"Sul","CS ARMAÇÃO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Norte","CS BARRA DA LAGOA","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS CACHOEIRA BOM JESUS","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",35
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS CANASVIEIRAS","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",19
"Sul","CS CANTO DA LAGOA","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS CAPOEIRAS","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",10
"Sul","CS CARIANOS","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Centro","CS CENTRO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS COLONINHA","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Continente","CS COQUEIROS","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS CÓRREGO GRANDE","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS ESTREITO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Norte","CS INGLESES","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Centro","CS ITACORUBI","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",11
"Continente","CS JARDIM ATLÂNTICO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",35
"Centro","CS JOÃO PAULO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS JURERE","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Continente","CS MONTE CRISTO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Centro","CS MONTE SERRAT","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Sul","CS MORRO DAS PEDRAS","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS NOVO CONTINENTE","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Centro","CS PANTANAL","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Sul","CS PANTANO DO SUL","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS PONTA DAS CANAS","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Centro","CS PRAINHA","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS RATONES","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",17
"Sul","CS RIBEIRÃO DA ILHA","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS RIO TAVARES","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS RIO VERMELHO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Norte","CS SACO GRANDE","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS SANTINHO","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Norte","CS SANTO ANTONIO LISBOA","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS SAPE","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS TAPERA","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",10
"Centro","CS TRINDADE","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS VARGEM GRANDE","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS VARGEM PEQUENA","2016 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS AGRONÔMICA","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS ARMAÇÃO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS BALNEÁRIO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS CACHOEIRA BOM JESUS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Sul","CS CAMPECHE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS CANASVIEIRAS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Continente","CS CAPOEIRAS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Sul","CS CARIANOS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Centro","CS CENTRO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS COLONINHA","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Continente","CS COQUEIROS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS CÓRREGO GRANDE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS ESTREITO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS INGLESES","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Centro","CS ITACORUBI","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",14
"Continente","CS JARDIM ATLÂNTICO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",23
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Continente","CS MONTE CRISTO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Centro","CS MONTE SERRAT","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS MORRO DAS PEDRAS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS NOVO CONTINENTE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS PANTANO DO SUL","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Norte","CS PONTA DAS CANAS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS RATONES","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Norte","CS RIO VERMELHO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS SACO DOS LIMÕES","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS SACO GRANDE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS SANTINHO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Continente","CS SAPE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS TAPERA","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",24
"Centro","CS TRINDADE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS ABRAÃO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS AGRONÔMICA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS ARMAÇÃO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Continente","CS BALNEÁRIO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Norte","CS CACHOEIRA BOM JESUS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",35
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS CAMPECHE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS CANASVIEIRAS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Sul","CS CANTO DA LAGOA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS CAPOEIRAS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Sul","CS CARIANOS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Centro","CS CENTRO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS COLONINHA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Continente","CS COQUEIROS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",11
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS ESTREITO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS INGLESES","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",10
"Centro","CS ITACORUBI","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",34
"Continente","CS JARDIM ATLÂNTICO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",28
"Centro","CS JOÃO PAULO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS MONTE CRISTO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",10
"Sul","CS MORRO DAS PEDRAS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS NOVO CONTINENTE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS PANTANAL","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS PANTANO DO SUL","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",14
"Norte","CS PONTA DAS CANAS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Centro","CS PRAINHA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS RATONES","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Sul","CS RIBEIRÃO DA ILHA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Norte","CS RIO VERMELHO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Centro","CS SACO DOS LIMÕES","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS SACO GRANDE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Norte","CS SANTINHO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",16
"Continente","CS SAPE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS TAPERA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Centro","CS TRINDADE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS VARGEM PEQUENA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS ABRAÃO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS AGRONÔMICA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS ALTO RIBEIRÃO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS ARMAÇÃO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Continente","CS BALNEÁRIO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS BARRA DA LAGOA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS CACHOEIRA BOM JESUS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",41
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Sul","CS CAMPECHE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Norte","CS CANASVIEIRAS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Continente","CS CAPOEIRAS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Sul","CS CARIANOS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",19
"Centro","CS CENTRO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS COLONINHA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",18
"Continente","CS COQUEIROS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS CÓRREGO GRANDE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS ESTREITO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Norte","CS INGLESES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Centro","CS ITACORUBI","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",57
"Continente","CS JARDIM ATLÂNTICO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",26
"Norte","CS JURERE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Continente","CS MONTE CRISTO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Centro","CS MONTE SERRAT","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Sul","CS MORRO DAS PEDRAS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS NOVO CONTINENTE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Centro","CS PANTANAL","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Sul","CS PANTANO DO SUL","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",16
"Norte","CS PONTA DAS CANAS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS PRAINHA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS RATONES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Sul","CS RIBEIRÃO DA ILHA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS RIO TAVARES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS RIO VERMELHO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Centro","CS SACO DOS LIMÕES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS SACO GRANDE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Norte","CS SANTINHO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Continente","CS SAPE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Sul","CS TAPERA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",22
"Centro","CS TRINDADE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Norte","CS VARGEM PEQUENA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS ABRAÃO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS AGRONÔMICA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Sul","CS ARMAÇÃO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS BALNEÁRIO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Norte","CS BARRA DA LAGOA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS CACHOEIRA BOM JESUS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",22
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS CAMPECHE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Norte","CS CANASVIEIRAS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Sul","CS CANTO DA LAGOA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS CAPOEIRAS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Sul","CS CARIANOS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Centro","CS CENTRO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",22
"Continente","CS COLONINHA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Continente","CS COQUEIROS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Centro","CS CÓRREGO GRANDE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS ESTREITO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",14
"Norte","CS INGLESES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Centro","CS ITACORUBI","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",74
"Continente","CS JARDIM ATLÂNTICO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",30
"Centro","CS JOÃO PAULO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Continente","CS MONTE CRISTO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",13
"Centro","CS MONTE SERRAT","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Centro","CS PANTANAL","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",11
"Sul","CS PANTANO DO SUL","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
"Norte","CS PONTA DAS CANAS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Centro","CS PRAINHA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS RATONES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",24
"Sul","CS RIBEIRÃO DA ILHA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Sul","CS RIO TAVARES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Norte","CS RIO VERMELHO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",16
"Centro","CS SACO DOS LIMÕES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",17
"Norte","CS SACO GRANDE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",8
"Norte","CS SANTINHO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",10
"Norte","CS SANTO ANTONIO LISBOA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS SAPE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Sul","CS TAPERA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",29
"Centro","CS TRINDADE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",15
